year,data_year,cfips,county,state,microbusiness_density,pct_college,pct_in_arts_industry,pct_divorced,pct_house_price_gt1mill,pct_house_price_250k_500k,pct_in_finance_industry,pct_in_it_industry,pct_employed_at_government,pct_house_price_500k_1mill,pct_housing_single_detached,pct_employed_at_self_employed,pct_with_libarts_degree,median_hh_inc,pct_insured,total_population,birth_rate,pct_with_scieng_degree,pct_moved_within_state,pct_broadband,median_age,pct_moved_from_abroad
2019,2017,1001,Autauga County,Alabama,2.98697228,14.5,8.941605839,11.6,0,14.76190476,5.573988056,1.3,20.2,0,72.9,8,23.9,55317,91.2,55036,71,29.4,4.9,76.6,37.8,0.2
2019,2017,1003,Baldwin County,Alabama,7.37037526,20.4,10.62249377,13.1,3.076923077,32.87749288,7.611111732,1.4,12.9,7.065527066,73.9,11.4,20,52562,89.2,203360,50,27.3,2.1,74.5,42.6,0.3
2019,2017,1005,Barbour County,Alabama,1.046067636,7.6,6.859653075,12.2,2.631578947,18.85964912,3.671998198,0.5,19.1,0,57.2,9.9,18.8,33368,87.7,26201,70,22.9,3.4,57.2,39.7,0.2
2019,2017,1007,Bibb County,Alabama,1.27828812,8.1,3.855097295,11.2,0,0,4.40582548,1.2,17.4,19.8019802,66.8,8.1,20.6,43404,91.9,22580,74,22.6,7.3,62,39.8,0.4
2019,2017,1009,Blount County,Alabama,1.55911292,8.7,4.260991581,11.2,2.127659574,14.89361702,5.102899906,1.3,11.9,0,71.3,7.9,20.6,47412,89,57667,58,22.9,2.6,65.8,40.9,0.2
2019,2017,1011,Bullock County,Alabama,0.991337826,6.6,5.897435897,11.2,0,0,2.237762238,0.4,13.6,0,52.4,10.2,32.3,29655,85.9,10478,33,13.1,1.6,49.4,40.8,0.4
2019,2017,1013,Butler County,Alabama,0.84726151,9.6,9.60269186,11.3,0,0.849056604,2.795392779,1.1,15.3,6.603773585,62.4,7.9,17.2,36326,88.6,20126,47,20.9,1.5,58.2,40.7,0.5
2019,2017,1015,Calhoun County,Alabama,2.71152206,10.2,8.877025658,13,0,6.729131175,4.196910871,1.4,19.9,0,72.7,8.4,24.9,43686,89.6,115527,50,23.5,4.4,71,39.1,0.2
2019,2017,1017,Chambers County,Alabama,1.3806824,9,5.878708612,12.8,0,0,3.827355958,2.4,11.8,0,71.6,5.8,18.3,37342,87.8,33895,42,27.1,2.7,62.8,43,0.1
2019,2017,1019,Cherokee County,Alabama,1.09071538,6.6,5.567365118,12.7,0,24.03314917,2.044741371,1.4,17.1,2.486187845,69.5,11.1,14.3,40041,91,25855,37,20.6,2.8,67.5,46.1,0.2
2019,2017,1021,Chilton County,Alabama,1.43316796,9.5,4.729844413,12.5,0,10.17811705,5.929278642,0.5,14,0,59.9,8.7,20.6,43501,85.2,43805,70,20.8,2.5,56.6,38.9,0.2
2019,2017,1023,Choctaw County,Alabama,1.05895826,7.9,3.510811439,13.2,0,0,1.720530109,1.8,14.8,0,64.4,6.4,22.5,32122,89,13188,45,23.6,1.3,52.3,45.8,0.1
2019,2017,1025,Clarke County,Alabama,1.0695411,8.4,6.44144712,8.9,0,8.24742268,4.222866507,1,11.8,0,61.9,7.3,19.6,33827,89.1,24625,19,16.6,1,47.3,42.2,0.3
2019,2017,1027,Clay County,Alabama,1.44644552,5.9,4.719549828,12.4,0,0,3.721183518,1.1,14.5,0,68.4,11,18.8,37287,86.8,13407,41,16.3,1.7,66,43.8,0.2
