"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005EA","B05001_005M","B05001_005MA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US01001","Autauga County, Alabama","55036","*****","*****","null","53285","302","null","null","76","63","null","null","512","null","161","null","614","null","187","null","549","228","null","null",
"0500000US01003","Baldwin County, Alabama","203360","*****","*****","null","194857","806","null","null","368","203","null","null","1529","null","353","null","3171","null","650","null","3435","581","null","null",
"0500000US01005","Barbour County, Alabama","26201","*****","*****","null","25345","153","null","null","12","16","null","null","147","null","83","null","263","null","110","null","434","120","null","null",
"0500000US01007","Bibb County, Alabama","22580","*****","*****","null","22279","98","null","null","14","22","null","null","56","null","53","null","41","null","38","null","190","61","null","null",
"0500000US01009","Blount County, Alabama","57667","*****","*****","null","54772","275","null","null","166","139","null","null","108","null","55","null","909","null","209","null","1712","340","null","null",
"0500000US01011","Bullock County, Alabama","10478","*****","*****","null","10229","171","null","null","33","52","null","null","24","null","30","null","92","null","59","null","100","131","null","null",
"0500000US01013","Butler County, Alabama","20126","*****","*****","null","19834","57","null","null","0","21","null","null","81","null","47","null","114","null","105","null","97","81","null","null",
"0500000US01015","Calhoun County, Alabama","115527","*****","*****","null","111177","459","null","null","272","197","null","null","1057","null","248","null","1275","null","267","null","1746","243","null","null",
"0500000US01017","Chambers County, Alabama","33895","*****","*****","null","33265","145","null","null","11","13","null","null","178","null","131","null","61","null","39","null","380","130","null","null",
"0500000US01019","Cherokee County, Alabama","25855","*****","*****","null","25636","111","null","null","31","44","null","null","15","null","21","null","146","null","96","null","27","33","null","null",
"0500000US01021","Chilton County, Alabama","43805","*****","*****","null","41274","241","null","null","29","43","null","null","284","null","138","null","453","null","241","null","1765","306","null","null",
"0500000US01023","Choctaw County, Alabama","13188","*****","*****","null","13106","45","null","null","2","4","null","null","30","null","27","null","22","null","22","null","28","28","null","null",
"0500000US01025","Clarke County, Alabama","24625","*****","*****","null","24494","90","null","null","5","9","null","null","20","null","19","null","82","null","84","null","24","22","null","null",
"0500000US01027","Clay County, Alabama","13407","*****","*****","null","13146","65","null","null","0","18","null","null","0","null","18","null","43","null","51","null","218","97","null","null",
"0500000US01029","Cleburne County, Alabama","14939","*****","*****","null","14606","91","null","null","9","15","null","null","79","null","56","null","66","null","38","null","179","86","null","null",
"0500000US01031","Coffee County, Alabama","51073","*****","*****","null","47965","349","null","null","327","163","null","null","888","null","205","null","891","null","222","null","1002","284","null","null",
"0500000US01033","Colbert County, Alabama","54435","*****","*****","null","53214","309","null","null","9","10","null","null","253","null","181","null","354","null","104","null","605","224","null","null",
"0500000US01035","Conecuh County, Alabama","12649","*****","*****","null","12510","58","null","null","0","18","null","null","36","null","37","null","40","null","31","null","63","55","null","null",
"0500000US01037","Coosa County, Alabama","10955","*****","*****","null","10820","74","null","null","7","11","null","null","64","null","44","null","3","null","4","null","61","80","null","null",
"0500000US01039","Covington County, Alabama","37519","*****","*****","null","37082","87","null","null","28","31","null","null","109","null","48","null","203","null","65","null","97","43","null","null",
"0500000US01041","Crenshaw County, Alabama","13866","*****","*****","null","13555","132","null","null","0","18","null","null","23","null","26","null","81","null","48","null","207","113","null","null",
"0500000US01043","Cullman County, Alabama","81703","*****","*****","null","79144","250","null","null","40","37","null","null","248","null","87","null","825","null","224","null","1446","249","null","null",
"0500000US01045","Dale County, Alabama","49393","*****","*****","null","46594","365","null","null","190","102","null","null","1196","null","224","null","677","null","165","null","736","309","null","null",
"0500000US01047","Dallas County, Alabama","40755","*****","*****","null","40077","145","null","null","16","25","null","null","74","null","41","null","187","null","88","null","401","136","null","null",
"0500000US01049","DeKalb County, Alabama","71194","*****","*****","null","65528","412","null","null","53","59","null","null","305","null","134","null","951","null","446","null","4357","523","null","null",
"0500000US01051","Elmore County, Alabama","80989","*****","*****","null","78564","413","null","null","93","60","null","null","860","null","232","null","630","null","197","null","842","304","null","null",
"0500000US01053","Escambia County, Alabama","37621","*****","*****","null","37089","204","null","null","71","82","null","null","164","null","97","null","179","null","108","null","118","102","null","null",
"0500000US01055","Etowah County, Alabama","103132","*****","*****","null","99615","369","null","null","49","40","null","null","486","null","166","null","1017","null","216","null","1965","298","null","null",
"0500000US01057","Fayette County, Alabama","16657","*****","*****","null","16510","91","null","null","0","18","null","null","33","null","28","null","97","null","80","null","17","20","null","null",
"0500000US01059","Franklin County, Alabama","31507","*****","*****","null","28308","519","null","null","10","16","null","null","140","null","73","null","737","null","320","null","2312","453","null","null",
"0500000US01061","Geneva County, Alabama","26572","*****","*****","null","25932","184","null","null","33","53","null","null","218","null","110","null","193","null","86","null","196","98","null","null",
