"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003M","B05001_003MA","B05001_003EA","B05001_004E","B05001_004EA","B05001_004M","B05001_004MA","B05001_005E","B05001_005M","B05001_005MA","B05001_005EA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!U.S. citizen, born in the United States","Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total!!U.S. citizen, born in the United States","Annotation of Estimate!!Total!!U.S. citizen, born in the United States","Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total!!U.S. citizen by naturalization","Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total!!U.S. citizen by naturalization","Annotation of Estimate!!Total!!U.S. citizen by naturalization","Estimate!!Total!!Not a U.S. citizen","Margin of Error!!Total!!Not a U.S. citizen","Annotation of Margin of Error!!Total!!Not a U.S. citizen","Annotation of Estimate!!Total!!Not a U.S. citizen",
"0500000US01001","Autauga County, Alabama","55200","*****","*****","null","53385","242","null","null","110","96","null","null","591","null","165","null","579","192","null","null","535","173","null","null",
"0500000US01003","Baldwin County, Alabama","208107","*****","*****","null","198875","885","null","null","394","187","null","null","1668","null","370","null","3319","591","null","null","3851","695","null","null",
"0500000US01005","Barbour County, Alabama","25782","*****","*****","null","25064","114","null","null","25","29","null","null","47","null","46","null","280","106","null","null","366","100","null","null",
"0500000US01007","Bibb County, Alabama","22527","*****","*****","null","22083","170","null","null","24","37","null","null","95","null","74","null","129","78","null","null","196","85","null","null",
"0500000US01009","Blount County, Alabama","57645","*****","*****","null","54877","271","null","null","107","97","null","null","148","null","65","null","876","194","null","null","1637","245","null","null",
"0500000US01011","Bullock County, Alabama","10352","*****","*****","null","10193","79","null","null","31","39","null","null","32","null","31","null","96","71","null","null","0","19","null","null",
"0500000US01013","Butler County, Alabama","20025","*****","*****","null","19683","70","null","null","9","13","null","null","58","null","44","null","139","108","null","null","136","83","null","null",
"0500000US01015","Calhoun County, Alabama","115098","*****","*****","null","110649","491","null","null","305","231","null","null","1085","null","272","null","1497","298","null","null","1562","299","null","null",
"0500000US01017","Chambers County, Alabama","33826","*****","*****","null","33202","126","null","null","11","13","null","null","143","null","94","null","74","48","null","null","396","122","null","null",
"0500000US01019","Cherokee County, Alabama","25853","*****","*****","null","25608","94","null","null","27","42","null","null","13","null","21","null","130","71","null","null","75","61","null","null",
"0500000US01021","Chilton County, Alabama","43930","*****","*****","null","41656","309","null","null","31","43","null","null","273","null","123","null","346","145","null","null","1624","356","null","null",
"0500000US01023","Choctaw County, Alabama","13075","*****","*****","null","12983","55","null","null","2","4","null","null","25","null","23","null","40","36","null","null","25","23","null","null",
"0500000US01025","Clarke County, Alabama","24387","*****","*****","null","24275","63","null","null","5","10","null","null","14","null","15","null","67","53","null","null","26","23","null","null",
"0500000US01027","Clay County, Alabama","13378","*****","*****","null","13117","84","null","null","0","19","null","null","0","null","19","null","85","91","null","null","176","121","null","null",
"0500000US01029","Cleburne County, Alabama","14938","*****","*****","null","14614","90","null","null","6","10","null","null","93","null","59","null","48","33","null","null","177","59","null","null",
"0500000US01031","Coffee County, Alabama","51288","*****","*****","null","48089","399","null","null","388","164","null","null","971","null","230","null","824","197","null","null","1016","282","null","null",
"0500000US01033","Colbert County, Alabama","54495","*****","*****","null","53304","244","null","null","12","17","null","null","274","null","169","null","349","117","null","null","556","199","null","null",
"0500000US01035","Conecuh County, Alabama","12514","*****","*****","null","12388","66","null","null","0","19","null","null","37","null","39","null","32","21","null","null","57","47","null","null",
"0500000US01037","Coosa County, Alabama","10855","*****","*****","null","10727","90","null","null","6","10","null","null","71","null","49","null","3","5","null","null","48","79","null","null",
"0500000US01039","Covington County, Alabama","37351","*****","*****","null","36917","96","null","null","34","33","null","null","122","null","53","null","141","56","null","null","137","60","null","null",
"0500000US01041","Crenshaw County, Alabama","13865","*****","*****","null","13562","116","null","null","0","19","null","null","33","null","30","null","78","41","null","null","192","103","null","null",
"0500000US01043","Cullman County, Alabama","82313","*****","*****","null","80037","336","null","null","37","42","null","null","254","null","136","null","746","265","null","null","1239","257","null","null",
"0500000US01045","Dale County, Alabama","49255","*****","*****","null","46154","430","null","null","270","149","null","null","1194","null","268","null","704","156","null","null","933","346","null","null",
"0500000US01047","Dallas County, Alabama","40029","*****","*****","null","39421","137","null","null","33","39","null","null","47","null","33","null","162","106","null","null","366","131","null","null",
"0500000US01049","DeKalb County, Alabama","71200","*****","*****","null","65531","399","null","null","33","48","null","null","311","null","149","null","980","467","null","null","4345","462","null","null",
"0500000US01051","Elmore County, Alabama","81212","*****","*****","null","78853","403","null","null","52","52","null","null","861","null","228","null","676","221","null","null","770","274","null","null",
"0500000US01053","Escambia County, Alabama","37328","*****","*****","null","36718","252","null","null","84","86","null","null","161","null","93","null","234","122","null","null","131","99","null","null",
