"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_001MA","B05001_001EA","B05001_002E","B05001_002M","B05001_002MA","B05001_002EA","B05001_003E","B05001_003EA","B05001_003M","B05001_003MA","B05001_004E","B05001_004M","B05001_004MA","B05001_004EA","B05001_005E","B05001_005M","B05001_005MA","B05001_005EA","B05001_006E","B05001_006M","B05001_006MA","B05001_006EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Annotation of Margin of Error!!Total:!!U.S. citizen, born in the United States","Annotation of Estimate!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Annotation of Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Annotation of Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Annotation of Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Annotation of Margin of Error!!Total:!!U.S. citizen by naturalization","Annotation of Estimate!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen","Annotation of Margin of Error!!Total:!!Not a U.S. citizen","Annotation of Estimate!!Total:!!Not a U.S. citizen",
"0500000US01001","Autauga County, Alabama","55380","*****","*****","null","53227","326","null","null","236","null","147","null","618","176","null","null","750","252","null","null","549","218","null","null",
"0500000US01003","Baldwin County, Alabama","212830","*****","*****","null","202925","998","null","null","399","null","254","null","1582","352","null","null","3650","508","null","null","4274","747","null","null",
"0500000US01005","Barbour County, Alabama","25361","*****","*****","null","24599","88","null","null","27","null","32","null","46","37","null","null","335","103","null","null","354","110","null","null",
"0500000US01007","Bibb County, Alabama","22493","*****","*****","null","22023","190","null","null","18","null","27","null","112","85","null","null","140","89","null","null","200","94","null","null",
"0500000US01009","Blount County, Alabama","57681","*****","*****","null","54854","275","null","null","65","null","71","null","143","80","null","null","966","204","null","null","1653","250","null","null",
"0500000US01011","Bullock County, Alabama","10248","*****","*****","null","10113","97","null","null","29","null","49","null","34","31","null","null","72","65","null","null","0","19","null","null",
"0500000US01013","Butler County, Alabama","19828","*****","*****","null","19615","93","null","null","12","null","18","null","48","45","null","null","78","62","null","null","75","56","null","null",
"0500000US01015","Calhoun County, Alabama","114618","*****","*****","null","110104","492","null","null","379","null","274","null","1084","270","null","null","1523","312","null","null","1528","314","null","null",
"0500000US01017","Chambers County, Alabama","33660","*****","*****","null","32869","173","null","null","12","null","14","null","160","104","null","null","135","72","null","null","484","179","null","null",
"0500000US01019","Cherokee County, Alabama","25903","*****","*****","null","25604","103","null","null","28","null","45","null","49","72","null","null","142","80","null","null","80","68","null","null",
"0500000US01021","Chilton County, Alabama","44055","*****","*****","null","41866","346","null","null","0","null","25","null","182","111","null","null","638","233","null","null","1369","352","null","null",
"0500000US01023","Choctaw County, Alabama","12925","*****","*****","null","12814","56","null","null","3","null","5","null","26","24","null","null","46","40","null","null","36","26","null","null",
"0500000US01025","Clarke County, Alabama","24128","*****","*****","null","24048","41","null","null","7","null","14","null","16","13","null","null","43","35","null","null","14","11","null","null",
"0500000US01027","Clay County, Alabama","13337","*****","*****","null","13063","72","null","null","0","null","19","null","7","12","null","null","86","104","null","null","181","102","null","null",
"0500000US01029","Cleburne County, Alabama","14916","*****","*****","null","14552","103","null","null","4","null","7","null","119","71","null","null","91","40","null","null","150","84","null","null",
"0500000US01031","Coffee County, Alabama","51662","*****","*****","null","48333","426","null","null","394","null","145","null","876","165","null","null","943","198","null","null","1116","286","null","null",
"0500000US01033","Colbert County, Alabama","54771","*****","*****","null","53369","307","null","null","15","null","23","null","324","208","null","null","409","118","null","null","654","212","null","null",
"0500000US01035","Conecuh County, Alabama","12394","*****","*****","null","12230","90","null","null","0","null","19","null","48","52","null","null","93","62","null","null","23","23","null","null",
"0500000US01037","Coosa County, Alabama","10757","*****","*****","null","10625","80","null","null","7","null","11","null","72","41","null","null","4","8","null","null","49","76","null","null",
"0500000US01039","Covington County, Alabama","37200","*****","*****","null","36668","117","null","null","25","null","26","null","197","91","null","null","161","69","null","null","149","55","null","null",
"0500000US01041","Crenshaw County, Alabama","13844","*****","*****","null","13632","61","null","null","0","null","19","null","20","20","null","null","68","49","null","null","124","68","null","null",
"0500000US01043","Cullman County, Alabama","82853","*****","*****","null","80288","315","null","null","80","null","77","null","352","176","null","null","813","240","null","null","1320","222","null","null",
"0500000US01045","Dale County, Alabama","49277","*****","*****","null","45959","385","null","null","592","null","252","null","998","206","null","null","698","160","null","null","1030","312","null","null",
