"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013M","B25085_013MA","B25085_013EA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016M","B25085_016MA","B25085_016EA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018M","B25085_018MA","B25085_018EA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020M","B25085_020MA","B25085_020EA","B25085_021E","B25085_021EA","B25085_021M","B25085_021MA","B25085_022E","B25085_022EA","B25085_022M","B25085_022MA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Annotation of Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Annotation of Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Annotation of Margin of Error!!Total!!$10,000 to $14,999","Annotation of Estimate!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Annotation of Margin of Error!!Total!!$15,000 to $19,999","Annotation of Estimate!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Annotation of Margin of Error!!Total!!$20,000 to $24,999","Annotation of Estimate!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Annotation of Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Annotation of Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Annotation of Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Annotation of Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Annotation of Margin of Error!!Total!!$35,000 to $39,999","Annotation of Estimate!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Annotation of Margin of Error!!Total!!$40,000 to $49,999","Annotation of Estimate!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Annotation of Margin of Error!!Total!!$50,000 to $59,999","Annotation of Estimate!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Annotation of Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Annotation of Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Annotation of Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Annotation of Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Annotation of Margin of Error!!Total!!$80,000 to $89,999","Annotation of Estimate!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Annotation of Margin of Error!!Total!!$90,000 to $99,999","Annotation of Estimate!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Annotation of Margin of Error!!Total!!$100,000 to $124,999","Annotation of Estimate!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Annotation of Margin of Error!!Total!!$125,000 to $149,999","Annotation of Estimate!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Annotation of Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Annotation of Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Annotation of Margin of Error!!Total!!$175,000 to $199,999","Annotation of Estimate!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Annotation of Margin of Error!!Total!!$200,000 to $249,999","Annotation of Estimate!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Annotation of Margin of Error!!Total!!$250,000 to $299,999","Annotation of Estimate!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Annotation of Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Annotation of Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Annotation of Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Annotation of Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Annotation of Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Annotation of Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Annotation of Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Annotation of Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 to $1,499,999","Annotation of Estimate!!Total!!$1,000,000 to $1,499,999","Margin of Error!!Total!!$1,000,000 to $1,499,999","Annotation of Margin of Error!!Total!!$1,000,000 to $1,499,999","Estimate!!Total!!$1,500,000 to $1,999,999","Margin of Error!!Total!!$1,500,000 to $1,999,999","Annotation of Margin of Error!!Total!!$1,500,000 to $1,999,999","Annotation of Estimate!!Total!!$1,500,000 to $1,999,999","Estimate!!Total!!$2,000,000 or more","Margin of Error!!Total!!$2,000,000 or more","Annotation of Margin of Error!!Total!!$2,000,000 or more","Annotation of Estimate!!Total!!$2,000,000 or more",
"0500000US01001","Autauga County, Alabama","282","null","123","null","8","null","14","null","0","28","null","null","0","28","null","null","0","28","null","null","0","null","28","null","0","null","28","null","0","28","null","null","8","13","null","null","3","7","null","null","32","null","42","null","0","null","28","null","0","28","null","null","26","29","null","null","27","40","null","null","4","7","null","null","37","null","63","null","56","70","null","null","41","48","null","null","0","28","null","null","40","null","59","null","0","null","28","null","0","null","28","null","0","null","28","null","0","null","28","null","0","28","null","null","0","28","null","null",
"0500000US01003","Baldwin County, Alabama","3105","null","500","null","53","null","49","null","0","28","null","null","0","28","null","null","0","28","null","null","0","null","28","null","38","null","50","null","0","28","null","null","9","15","null","null","43","70","null","null","239","null","130","null","0","null","28","null","0","28","null","null","22","34","null","null","146","96","null","null","183","128","null","null","280","null","151","null","146","115","null","null","428","219","null","null","181","93","null","null","633","null","288","null","456","null","159","null","122","null","76","null","92","null","70","null","23","null","36","null","11","18","null","null","0","28","null","null",
"0500000US01005","Barbour County, Alabama","251","null","98","null","6","null","9","null","0","22","null","null","5","9","null","null","14","22","null","null","0","null","22","null","0","null","22","null","5","10","null","null","34","47","null","null","0","22","null","null","41","null","49","null","5","null","9","null","16","25","null","null","14","21","null","null","21","22","null","null","0","22","null","null","37","null","36","null","0","22","null","null","28","44","null","null","0","22","null","null","0","null","22","null","19","null","30","null","0","null","22","null","0","null","22","null","0","null","22","null","6","9","null","null","0","22","null","null",
"0500000US01007","Bibb County, Alabama","126","null","95","null","0","null","22","null","0","22","null","null","0","22","null","null","0","22","null","null","0","null","22","null","0","null","22","null","0","22","null","null","10","16","null","null","43","67","null","null","0","null","22","null","0","null","22","null","0","22","null","null","0","22","null","null","0","22","null","null","50","63","null","null","0","null","22","null","0","22","null","null","0","22","null","null","0","22","null","null","0","null","22","null","0","null","22","null","23","null","36","null","0","null","22","null","0","null","22","null","0","22","null","null","0","22","null","null",
"0500000US01009","Blount County, Alabama","384","null","175","null","45","null","50","null","3","5","null","null","43","66","null","null","0","28","null","null","0","null","28","null","8","null","13","null","25","39","null","null","92","101","null","null","10","13","null","null","0","null","28","null","7","null","12","null","24","23","null","null","21","23","null","null","5","9","null","null","0","28","null","null","12","null","15","null","21","25","null","null","8","12","null","null","46","70","null","null","4","null","6","null","0","null","28","null","0","null","28","null","0","null","28","null","0","null","28","null","0","28","null","null","10","15","null","null",
"0500000US01011","Bullock County, Alabama","6","null","9","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","6","null","9","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01013","Butler County, Alabama","1384","null","188","null","236","null","83","null","60","44","null","null","0","22","null","null","0","22","null","null","28","null","32","null","0","null","22","null","16","24","null","null","129","61","null","null","143","66","null","null","84","null","63","null","32","null","32","null","58","38","null","null","105","63","null","null","32","38","null","null","33","25","null","null","93","null","51","null","135","72","null","null","130","73","null","null","0","22","null","null","6","null","12","null","0","null","22","null","64","null","45","null","0","null","22","null","0","null","22","null","0","22","null","null","0","22","null","null",
"0500000US01015","Calhoun County, Alabama","1001","null","246","null","168","null","121","null","70","85","null","null","24","27","null","null","0","28","null","null","97","null","61","null","0","null","28","null","42","47","null","null","36","52","null","null","62","56","null","null","70","null","71","null","0","null","28","null","115","98","null","null","25","22","null","null","15","25","null","null","0","28","null","null","89","null","68","null","8","13","null","null","103","85","null","null","52","62","null","null","25","null","34","null","0","null","28","null","0","null","28","null","0","null","28","null","0","null","28","null","0","28","null","null","0","28","null","null",
"0500000US01017","Chambers County, Alabama","252","null","104","null","26","null","28","null","0","25","null","null","0","25","null","null","20","33","null","null","0","null","25","null","6","null","12","null","0","25","null","null","0","25","null","null","23","37","null","null","49","null","64","null","28","null","46","null","0","25","null","null","28","43","null","null","0","25","null","null","0","25","null","null","49","null","44","null","0","25","null","null","23","39","null","null","0","25","null","null","0","null","25","null","0","null","25","null","0","null","25","null","0","null","25","null","0","null","25","null","0","25","null","null","0","25","null","null",
