"GEO_ID","NAME","B25085_001E","B25085_001EA","B25085_001M","B25085_001MA","B25085_002E","B25085_002EA","B25085_002M","B25085_002MA","B25085_003E","B25085_003M","B25085_003MA","B25085_003EA","B25085_004E","B25085_004M","B25085_004MA","B25085_004EA","B25085_005E","B25085_005M","B25085_005MA","B25085_005EA","B25085_006E","B25085_006EA","B25085_006M","B25085_006MA","B25085_007E","B25085_007EA","B25085_007M","B25085_007MA","B25085_008E","B25085_008M","B25085_008MA","B25085_008EA","B25085_009E","B25085_009M","B25085_009MA","B25085_009EA","B25085_010E","B25085_010M","B25085_010MA","B25085_010EA","B25085_011E","B25085_011EA","B25085_011M","B25085_011MA","B25085_012E","B25085_012EA","B25085_012M","B25085_012MA","B25085_013E","B25085_013M","B25085_013MA","B25085_013EA","B25085_014E","B25085_014M","B25085_014MA","B25085_014EA","B25085_015E","B25085_015M","B25085_015MA","B25085_015EA","B25085_016E","B25085_016EA","B25085_016M","B25085_016MA","B25085_017E","B25085_017EA","B25085_017M","B25085_017MA","B25085_018E","B25085_018EA","B25085_018M","B25085_018MA","B25085_019E","B25085_019M","B25085_019MA","B25085_019EA","B25085_020E","B25085_020EA","B25085_020M","B25085_020MA","B25085_021E","B25085_021M","B25085_021MA","B25085_021EA","B25085_022E","B25085_022M","B25085_022MA","B25085_022EA","B25085_023E","B25085_023EA","B25085_023M","B25085_023MA","B25085_024E","B25085_024EA","B25085_024M","B25085_024MA","B25085_025E","B25085_025EA","B25085_025M","B25085_025MA","B25085_026E","B25085_026M","B25085_026MA","B25085_026EA","B25085_027E","B25085_027M","B25085_027MA","B25085_027EA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Annotation of Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Annotation of Margin of Error!!Total:!!$40,000 to $49,999","Annotation of Estimate!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Annotation of Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Annotation of Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Annotation of Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Annotation of Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Annotation of Margin of Error!!Total:!!$80,000 to $89,999","Annotation of Estimate!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Annotation of Margin of Error!!Total:!!$90,000 to $99,999","Annotation of Estimate!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Annotation of Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Annotation of Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Annotation of Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Annotation of Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Annotation of Margin of Error!!Total:!!$200,000 to $249,999","Annotation of Estimate!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Annotation of Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Annotation of Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Annotation of Margin of Error!!Total:!!$300,000 to $399,999","Annotation of Estimate!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Annotation of Margin of Error!!Total:!!$400,000 to $499,999","Annotation of Estimate!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Annotation of Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Annotation of Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Annotation of Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Annotation of Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Annotation of Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Annotation of Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Annotation of Margin of Error!!Total:!!$1,500,000 to $1,999,999","Annotation of Estimate!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more","Annotation of Margin of Error!!Total:!!$2,000,000 or more","Annotation of Estimate!!Total:!!$2,000,000 or more",
"0500000US01001","Autauga County, Alabama","333","null","151","null","8","null","13","null","0","29","null","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","29","null","null","8","12","null","null","0","29","null","null","0","null","29","null","0","null","29","null","94","144","null","null","28","31","null","null","52","57","null","null","5","null","9","null","43","null","70","null","8","null","26","null","67","54","null","null","0","null","29","null","20","30","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01003","Baldwin County, Alabama","2840","null","551","null","44","null","43","null","0","29","null","null","0","29","null","null","0","29","null","null","0","null","29","null","60","null","75","null","0","29","null","null","8","13","null","null","0","29","null","null","13","null","21","null","0","null","29","null","27","45","null","null","24","37","null","null","178","123","null","null","47","null","48","null","370","null","245","null","372","null","242","null","405","231","null","null","91","null","62","null","744","362","null","null","335","196","null","null","89","null","54","null","33","null","32","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01005","Barbour County, Alabama","308","null","114","null","4","null","8","null","0","23","null","null","0","23","null","null","11","17","null","null","0","null","23","null","0","null","23","null","6","10","null","null","38","53","null","null","31","33","null","null","15","null","24","null","5","null","8","null","24","29","null","null","15","24","null","null","0","23","null","null","0","null","23","null","47","null","40","null","11","null","17","null","29","45","null","null","31","null","50","null","31","49","null","null","0","23","null","null","10","null","15","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US01007","Bibb County, Alabama","85","null","74","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","0","null","23","null","0","null","23","null","0","23","null","null","7","11","null","null","38","57","null","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null","0","23","null","null","22","null","28","null","0","null","23","null","0","null","23","null","0","23","null","null","0","null","23","null","0","23","null","null","0","23","null","null","18","null","31","null","0","null","23","null","0","null","23","null","0","23","null","null","0","23","null","null",
"0500000US01009","Blount County, Alabama","215","null","105","null","57","null","54","null","4","7","null","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","21","34","null","null","56","61","null","null","14","16","null","null","0","null","29","null","0","null","29","null","4","7","null","null","8","13","null","null","9","14","null","null","26","null","38","null","0","null","29","null","9","null","14","null","7","11","null","null","0","null","29","null","0","29","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01011","Bullock County, Alabama","3","null","5","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","3","null","5","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","null","19","null","0","19","null","null","0","19","null","null","0","null","19","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01013","Butler County, Alabama","1635","null","263","null","243","null","97","null","61","52","null","null","77","83","null","null","0","19","null","null","24","null","26","null","0","null","19","null","36","54","null","null","128","60","null","null","170","92","null","null","146","null","82","null","31","null","29","null","97","58","null","null","97","69","null","null","46","45","null","null","30","null","22","null","70","null","46","null","176","null","85","null","121","63","null","null","0","null","19","null","17","28","null","null","0","19","null","null","65","null","46","null","0","null","19","null","0","null","19","null","0","19","null","null","0","19","null","null",
"0500000US01015","Calhoun County, Alabama","826","null","225","null","119","null","88","null","97","110","null","null","22","27","null","null","0","29","null","null","0","null","29","null","0","null","29","null","19","31","null","null","0","29","null","null","35","47","null","null","40","null","49","null","0","null","29","null","127","96","null","null","11","18","null","null","40","60","null","null","15","null","24","null","147","null","92","null","30","null","36","null","62","57","null","null","58","null","60","null","4","7","null","null","0","29","null","null","0","null","29","null","0","null","29","null","0","null","29","null","0","29","null","null","0","29","null","null",
"0500000US01017","Chambers County, Alabama","376","null","150","null","68","null","60","null","0","26","null","null","0","26","null","null","0","26","null","null","0","null","26","null","13","null","20","null","0","26","null","null","0","26","null","null","0","26","null","null","39","null","49","null","24","null","38","null","0","26","null","null","23","37","null","null","0","26","null","null","124","null","100","null","85","null","68","null","0","null","26","null","0","26","null","null","0","null","26","null","0","26","null","null","0","26","null","null","0","null","26","null","0","null","26","null","0","null","26","null","0","26","null","null","0","26","null","null",
