cfips,pct_housing_vacant,pct_housing_occupant_ratio_lt1,pct_housing_grapi_gt35
01001,9.1,98.9,44.9
01003,30.8,99.0,39.0
01005,22.9,98.0,38.5
01007,24.1,99.5,36.0
01009,14.4,98.2,31.0
01011,18.7,99.9,47.6
01013,29.6,98.4,35.2
01015,15.9,98.4,39.2
01017,19.4,96.7,34.2
01019,34.4,98.4,44.4
01021,14.1,97.3,39.7
01023,25.5,98.5,48.4
01025,24.4,98.0,32.5
01027,21.5,99.5,19.7
01029,14.9,98.9,30.6
01031,14.8,98.8,37.1
01033,16.5,99.4,45.3
01035,33.8,98.5,41.9
01037,35.6,98.5,16.4
01039,19.1,98.1,32.0
01041,20.9,99.2,35.3
01043,17.1,98.3,38.0
01045,18.2,98.7,38.2
01047,18.8,96.1,48.4
01049,18.8,97.2,31.2
01051,13.9,98.7,33.1
01053,20.1,97.7,41.8
01055,18.0,98.6,36.8
01057,17.7,98.5,40.9
01059,18.4,96.3,34.8
01061,16.2,98.4,30.8
01063,40.2,96.5,50.1
01065,26.9,96.3,52.9
01067,25.7,99.3,38.7
01069,15.6,98.7,39.6
01071,18.6,97.7,33.4
01073,14.6,98.7,43.3
01075,18.6,98.8,41.0
01077,13.3,98.8,34.8
01079,14.9,98.8,30.0
01081,12.1,97.1,49.3
01083,9.7,98.2,37.5
01085,16.5,98.7,50.7
01087,23.5,98.7,45.5
01089,9.4,98.6,37.4
01091,22.6,98.6,38.7
01093,15.9,98.7,31.8
01095,14.8,96.7,37.6
01097,15.7,98.0,44.9
01099,27.9,99.1,42.1
01101,13.6,98.3,45.3
01103,11.3,97.9,36.8
01105,36.0,97.7,66.0
01107,20.1,98.2,40.9
01109,23.3,97.9,48.8
01111,26.4,97.2,34.1
01113,16.5,96.7,39.2
01115,11.1,99.1,34.7
01117,9.6,98.9,32.0
01119,25.8,99.1,54.1
01121,15.7,98.5,37.1
01123,26.5,96.3,42.4
01125,20.0,98.0,43.5
01127,18.9,98.2,45.8
01129,29.2,97.5,20.8
01131,32.7,99.7,29.0
01133,30.6,98.9,32.8
