cfips,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio
01001,55200,23.8,39.6,37.8,94.9
01003,208107,33.4,37.5,42.8,94.6
01005,25782,29.5,34.6,39.9,113.3
01007,22527,25.8,32.8,39.9,117.1
01009,57645,30.1,39.7,40.8,97.3
01011,10352,24.5,32.6,39.6,120.8
01013,20025,32.7,39.2,40.7,87.9
01015,115098,27.5,35.7,39.7,92.5
01017,33826,31.4,34.3,43.0,92.5
01019,25853,37.6,35.4,45.9,98.4
01021,43930,26.3,40.4,38.6,97.4
01023,13075,38.2,35.1,46.1,91.7
01025,24387,32.2,37.5,42.3,89.8
01027,13378,33.5,35.7,43.7,93.5
01029,14938,32.2,39.5,42.5,95.1
01031,51288,27.2,39.5,39.3,97.5
01033,54495,32.4,35.8,42.7,91.7
01035,12514,37.8,37.0,44.8,93.2
01037,10855,35.7,27.9,46.9,102.7
01039,37351,35.6,38.1,43.9,94.7
01041,13865,31.0,38.0,41.5,96.6
01043,82313,30.2,38.0,40.6,97.1
01045,49255,26.6,38.6,37.5,96.9
01047,40029,28.5,41.5,39.5,85.5
01049,71200,27.6,41.5,39.3,98.4
01051,81212,23.0,35.6,38.6,94.5
01053,37328,28.8,37.0,39.7,104.4
01055,102939,30.6,36.1,41.3,93.2
01057,16585,35.2,37.0,43.8,97.1
01059,31542,27.4,41.9,37.6,97.9
01061,26491,33.3,37.8,42.4,95.9
01063,8426,35.4,38.4,42.5,88.2
01065,14887,31.3,40.1,39.2,89.2
01067,17124,37.6,36.4,44.1,92.6
01069,104352,28.3,39.1,39.8,92.1
01071,52094,32.2,36.0,43.3,96.2
01073,659892,24.2,37.1,37.7,89.9
01075,13933,37.0,38.7,44.5,95.3
01077,92585,31.8,33.0,41.4,91.8
01079,33171,28.7,35.9,42.2,93.2
01081,159287,16.5,31.9,31.4,96.9
01083,93052,23.7,37.0,39.5,99.6
01085,10236,30.1,38.3,41.6,89.3
01087,19054,29.3,28.2,38.0,85.6
01089,357560,22.6,34.9,38.5,95.5
01091,19538,32.4,39.3,42.7,93.6
01093,29965,35.7,36.2,44.3,98.9
01095,95145,28.7,42.6,38.7,97.5
01097,414659,25.2,38.9,37.6,91.3
01099,21512,32.4,39.3,42.3,90.7
01101,226941,22.8,38.0,36.2,89.8
01103,119122,27.6,38.1,40.4,97.0
01105,9486,31.2,36.6,37.7,87.8
01107,20298,29.7,31.8,42.4,91.7
01109,33403,22.2,29.8,30.8,92.2
01111,22574,34.3,37.4,42.7,94.9
01113,58213,21.6,39.8,35.9,93.5
01115,87306,26.0,37.4,40.3,100.5
01117,211261,23.1,38.8,38.9,94.2
01119,12985,26.6,30.5,35.8,86.3
01121,80565,27.8,35.1,41.1,94.6
01123,40636,34.8,36.0,43.7,92.4
01125,206213,18.7,31.4,32.7,93.3
01127,64493,31.5,37.7,42.4,95.5
01129,16643,30.7,37.4,43.6,102.4
01131,10809,32.1,42.7,40.8,90.5
01133,23875,36.3,36.0,44.9,98.4
02013,3425,11.5,18.5,42.7,138.5
02016,5750,7.5,21.6,37.6,148.1
02020,296112,15.2,37.8,33.2,104.3
02050,18040,12.5,62.5,27.1,108.3
02060,890,13.9,31.8,41.8,144.5
02068,2232,8.9,14.2,43.1,100.2
02070,4975,14.3,51.0,30.3,107.1
02090,99653,13.7,36.4,31.1,117.5
02100,2518,45.6,41.5,44.9,112.8
02105,2132,29.9,23.8,50.2,105.6
