cfips,pct_moved_from_abroad,pct_moved_outside_state,pct_moved_within_state,pct_moved_within_county
01001,0.5,2.5,3.7,5.9
01003,0.3,3.0,2.0,6.3
01005,0.3,1.7,4.5,8.9
01007,0.1,1.3,5.6,5.4
01009,0.2,1.0,2.3,4.7
01011,0.4,0.4,2.2,7.8
01013,0.5,0.6,2.2,1.8
01015,0.3,1.9,3.1,8.6
01017,0.2,1.6,2.3,3.7
01019,0.0,1.9,3.7,3.9
01021,0.1,0.4,2.2,4.6
01023,0.2,2.7,1.8,4.1
01025,0.3,1.0,0.7,5.2
01027,0.1,1.4,1.4,5.8
01029,0.0,3.3,4.2,3.8
01031,0.5,4.7,4.0,7.3
01033,0.3,1.0,2.1,4.5
01035,0.0,0.0,0.8,1.8
01037,0.1,2.9,5.2,3.5
01039,0.1,1.4,2.1,5.0
01041,0.0,0.4,3.8,4.3
01043,0.1,1.5,3.4,6.0
01045,0.7,8.1,3.9,6.2
01047,0.1,0.8,2.2,6.7
01049,0.2,1.3,1.8,6.9
01051,0.4,1.2,6.9,5.3
01053,0.0,1.3,1.3,3.5
01055,0.2,1.2,3.1,7.7
01057,0.2,1.0,5.5,5.1
01059,0.3,0.6,1.5,4.4
01061,0.0,1.2,3.6,5.5
01063,0.4,0.2,0.5,1.1
01065,0.1,0.5,3.8,2.0
01067,0.3,1.6,2.4,3.0
01069,0.2,2.3,1.8,6.5
01071,0.0,1.5,0.8,3.6
01073,0.4,1.8,2.6,10.4
01075,0.3,1.3,2.9,5.9
01077,0.4,3.5,4.9,9.7
01079,0.1,1.1,3.8,4.7
01081,0.8,4.9,4.2,7.5
01083,0.1,1.9,5.4,5.1
01085,0.0,0.5,1.9,6.6
01087,0.4,2.8,2.7,3.0
01089,0.5,3.1,2.4,10.6
01091,0.0,1.1,1.4,5.6
01093,0.2,1.2,2.3,5.1
01095,0.2,1.6,2.9,6.0
01097,0.2,1.8,1.1,8.6
01099,0.1,0.7,1.4,4.3
01101,1.2,3.5,3.3,12.4
01103,0.1,1.2,3.2,5.6
01105,0.1,1.6,4.1,0.8
01107,0.4,2.7,2.6,5.7
01109,0.9,2.4,5.6,6.3
01111,0.0,1.1,3.7,5.3
01113,0.2,6.2,2.4,6.6
01115,0.0,1.2,4.0,6.4
01117,0.3,2.3,4.8,5.9
01119,0.0,2.5,5.7,2.7
01121,0.1,1.2,3.6,7.6
01123,0.1,2.1,4.4,6.3
01125,0.3,4.0,3.9,8.6
01127,0.0,0.7,4.1,7.1
01129,0.2,1.2,3.3,1.8
01131,0.2,0.3,4.7,3.6
01133,0.2,1.5,3.7,5.6
02013,2.1,5.9,3.3,4.5
02016,2.1,6.3,2.7,8.2
02020,0.9,4.0,2.0,11.9
02050,0.1,1.0,2.0,7.6
02060,0.1,5.6,7.2,6.0
02063,0.2,8.0,0.8,1.5
02066,0.1,0.1,6.7,4.5
02068,5.1,21.1,5.3,3.2
02070,1.6,1.3,2.6,8.1
02090,1.2,7.0,2.2,9.9
02100,0.0,1.4,3.3,6.4
02105,0.0,4.6,4.5,3.1
02110,0.9,4.1,1.9,9.7
02122,0.2,3.4,2.7,8.6
02130,0.7,4.4,1.7,7.8
02150,1.6,7.1,3.8,5.7
02158,0.0,0.4,1.3,4.0
02164,0.9,2.6,3.0,6.5
02170,0.4,2.9,4.5,7.8
02180,0.1,1.9,3.1,9.6
02185,0.3,4.1,5.6,6.4
02188,0.1,3.3,1.6,8.4
02195,0.5,4.9,2.6,6.3
02198,0.2,2.8,2.4,7.5
02220,0.8,5.4,4.3,11.6
02230,0.8,5.7,6.6,8.3
02240,0.8,4.8,6.2,9.5
02275,0.3,2.8,2.1,3.0
02282,1.7,7.3,1.2,8.5
02290,0.3,1.6,5.4,5.0
04001,0.1,1.0,2.2,2.6
04003,1.1,5.5,3.2,6.2
04005,0.6,6.2,7.4,10.2
04007,0.4,3.1,5.0,9.4
04009,0.6,3.1,7.1,6.9
04011,0.1,3.2,8.8,4.0
04012,1.4,5.2,1.1,4.5
04013,0.6,3.5,0.8,11.7
04015,0.5,6.6,1.5,8.8
04017,0.2,1.7,4.6,6.9
04019,0.8,3.9,2.1,12.5
04021,0.6,4.3,5.8,6.5
04023,2.0,1.2,2.4,6.7
04025,0.3,4.2,3.2,7.0
04027,1.8,4.4,1.5,9.8
05001,0.1,0.9,2.6,8.1
05003,0.1,1.0,0.6,6.8
05005,0.3,2.7,2.7,9.6
05007,0.5,3.8,2.0,7.7
05009,0.1,2.3,3.5,8.6
05011,0.3,0.8,3.1,6.3
05013,0.2,0.4,3.1,3.6
05015,0.2,1.4,2.3,4.2
05017,0.0,1.5,4.7,6.7
05019,0.2,3.0,8.4,9.6
05021,0.1,2.6,1.6,9.5
05023,0.0,1.6,3.6,10.1
05025,0.0,0.2,2.6,2.2
05027,0.1,3.4,5.2,5.4
05029,0.2,1.1,3.2,9.3
05031,0.7,2.1,6.1,13.9
05033,0.3,1.5,5.5,7.3
05035,0.1,2.2,1.8,14.2
05037,0.1,1.2,5.2,11.6
05039,0.0,3.0,5.9,4.0
05041,0.3,1.2,3.1,10.0
05043,0.1,2.6,3.4,7.4
05045,0.2,1.0,4.0,5.1
05047,0.1,1.5,4.7,9.3
05049,0.0,2.4,6.2,5.3
05051,0.2,2.7,3.4,8.4
05053,0.0,1.0,3.7,6.4
05055,0.1,2.6,4.6,14.3
05057,0.1,2.2,3.1,6.5
05059,0.1,1.0,5.5,7.2
05061,0.0,0.6,3.8,4.5
05063,0.1,1.1,4.2,6.8
05065,0.0,3.0,4.0,5.2
05067,0.0,1.9,13.1,5.2
05069,0.5,1.7,5.1,8.2
05071,0.4,1.9,3.4,4.9
05073,0.0,0.4,3.8,3.0
05075,0.1,2.9,5.3,8.7
05077,0.0,1.5,8.5,6.8
05079,0.0,1.5,5.9,3.8
05081,0.1,1.9,5.0,7.3
05083,0.0,3.4,4.2,7.3
05085,0.3,1.5,4.6,5.6
05087,0.0,1.2,4.1,5.7
05089,0.4,2.9,4.5,5.3
05091,0.0,4.6,1.8,7.0
05093,0.1,2.2,3.1,13.7
05095,0.0,4.8,7.9,5.1
05097,0.2,1.4,4.7,7.5
05099,0.0,7.1,5.7,7.0
05101,0.0,0.8,3.0,2.7
05103,0.0,1.7,1.3,4.8
05105,0.1,1.8,3.8,4.1
05107,0.0,0.8,2.5,12.7
05109,0.0,1.5,3.8,5.6
05111,0.1,2.2,4.5,9.3
05113,0.3,1.2,1.6,10.4
05115,0.5,1.1,4.8,8.0
05117,0.0,0.7,4.3,4.5
05119,0.4,2.4,3.2,8.1
05121,0.1,1.4,4.4,13.6
05123,0.5,1.0,5.5,8.2
05125,0.1,1.2,4.2,6.3
05127,0.2,1.7,3.1,9.3
05129,0.7,1.2,1.8,6.3
05131,0.2,3.1,3.1,10.5
05133,0.0,0.6,3.4,5.9
05135,0.1,2.2,4.2,6.7
05137,0.0,4.9,1.3,5.2
05139,0.2,1.1,2.2,5.3
05141,0.2,1.6,4.6,6.0
05143,0.5,3.8,3.9,9.6
05145,0.5,3.1,3.6,10.6
05147,0.3,0.5,3.2,5.4
05149,0.7,1.8,3.8,5.5
06001,1.2,1.4,3.7,6.4
06003,0.0,3.0,7.0,2.7
06005,0.0,1.1,6.3,5.2
06007,0.2,1.0,5.4,11.4
06009,0.3,0.5,5.2,5.6
06011,0.1,0.4,4.3,5.6
06013,0.8,1.0,3.9,6.2
06015,0.0,2.1,6.3,6.1
06017,0.3,1.5,6.6,5.9
06019,0.4,0.7,2.2,9.5
06021,0.2,0.7,4.4,3.7
06023,0.2,1.9,4.7,11.7
06025,0.9,0.7,1.8,7.3
06027,0.0,2.6,4.3,3.4
06029,0.4,1.1,3.2,9.0
06031,0.5,1.7,5.9,8.1
06033,0.4,1.8,6.6,9.1
06035,0.5,2.0,17.6,6.8
06037,0.7,1.0,1.0,7.2
06039,0.4,0.7,5.0,6.5
06041,0.9,1.5,5.1,5.4
06043,0.1,2.0,5.8,5.8
