cfips,pct_households_married,avg_family_size,pct_unmarried_same_sex_households,pct_housing_owner_occupied
01001,54.255269430293964,3.09,73.2,73.3
01003,52.99147411343136,3.24,75.6,75.2
01005,42.35420010700909,3.01,57.3,60.9
01007,50.6893048904368,3.74,61.5,74.4
01009,57.125725524056215,3.33,71.0,78.8
01011,37.54615166145982,3.30,48.4,71.1
01013,47.755917614509684,3.78,64.6,70.0
01015,47.14269700706199,3.03,75.4,70.1
01017,41.27751338488995,3.10,71.1,67.5
01019,56.10505727856944,2.94,69.2,77.3
01021,50.38104802977491,3.06,60.8,74.5
01023,43.283018867924525,3.07,67.9,80.9
01025,45.6985698569857,3.46,63.5,70.1
01027,52.00076952674105,3.04,68.7,75.5
01029,55.475352112676056,3.21,68.9,76.1
01031,50.968680987753466,3.12,76.2,65.7
01033,50.603290676416826,3.06,79.4,72.2
01035,42.54337799253239,3.41,61.9,76.1
01037,52.38095238095239,3.26,64.8,79.2
01039,48.76110961486668,3.00,72.8,74.5
01041,47.78474610560389,3.45,66.1,75.5
01043,54.03106270541986,3.18,71.6,74.8
01045,47.633733914708074,3.14,72.4,60.1
01047,35.21684475172847,3.06,62.0,59.3
01049,54.18202764976958,3.26,69.7,71.5
01051,54.92459943449576,3.09,75.7,73.3
01053,43.983497593399036,3.47,71.0,68.3
01055,47.40896718196292,3.23,78.2,72.6
01057,54.895618935607175,2.85,69.3,77.3
01059,50.38015930485156,3.44,78.1,70.8
01061,50.40932293171531,3.11,71.0,72.0
01063,29.21043713995256,4.34,58.8,67.1
01065,43.097345132743364,3.36,57.4,75.8
01067,54.34389140271493,3.13,72.0,83.3
01069,45.92862048790415,3.30,74.3,65.7
01071,53.78110654747523,3.02,72.2,75.5
01073,41.434209569308386,3.15,73.6,62.7
01075,53.39822404371585,2.96,72.7,75.6
01077,50.035091367523584,2.91,74.1,68.1
01079,55.53364360653151,3.11,71.9,77.7
01081,45.2313362219234,3.20,61.7,61.6
01083,56.79619201692437,3.47,80.9,77.6
01085,31.263232180663376,2.94,54.4,74.3
01087,32.74016590848274,2.88,64.1,65.5
01089,48.2478456565602,2.99,74.5,66.8
01091,35.74242630077435,3.88,62.6,71.5
01093,51.20446778361257,3.06,68.9,75.1
01095,52.87962617894103,3.30,77.6,70.2
01097,43.10116415254942,3.31,75.6,64.5
01099,42.15037962282635,3.42,73.3,63.6
01101,37.007830040099634,3.16,74.2,58.4
01103,51.33498845768544,3.14,74.6,72.7
01105,21.270358306188925,4.52,64.8,71.9
01107,45.47597224040854,3.02,64.4,75.3
01109,38.30704249633652,3.68,58.2,62.3
01111,48.8738221098598,3.19,71.7,76.6
01113,42.657553090877826,3.10,69.0,60.2
01115,58.172056436508925,3.17,71.0,79.9
01117,59.55418812005525,3.18,81.8,80.5
01119,27.816224529027295,3.21,50.5,64.1
01121,44.1790093964007,3.02,64.4,71.3
01123,49.69453872261648,3.01,72.3,74.9
01125,45.334731786754254,3.32,67.6,63.7
01127,51.2930173068468,3.04,66.3,77.2
01129,53.57262103505843,3.37,70.9,82.7
01131,32.64141152049818,3.67,50.4,67.9
01133,50.69849874895746,3.04,69.0,79.4
02013,39.325842696629216,3.23,80.3,63.8
02016,45.745577085088456,4.56,36.2,28.2
02020,47.761502153574746,3.27,63.2,61.3
02050,44.08554243706838,4.35,86.6,58.2
02060,46.17834394904459,3.07,81.8,53.8
02068,44.86133768352366,3.12,89.4,81.6
02070,40.9250175192712,3.72,82.9,62.0
02090,51.235216093732724,3.15,70.9,58.9
02100,55.21350546176763,2.97,84.7,66.4
02105,43.23640960809102,3.14,86.6,75.5
02110,47.94887977279899,3.09,61.1,64.8
02122,50.94313453536754,3.28,80.0,72.8
02130,47.52640355753196,3.02,58.7,61.6
02150,54.91668622389111,3.62,66.1,54.6
02158,36.7169373549884,4.95,96.9,71.7
02164,35.15439429928741,3.69,90.5,71.5
02170,56.8344171445046,3.91,84.7,77.1
02180,37.23628691983122,3.71,82.1,60.5
02185,36.17988883274381,3.77,78.5,52.7
02188,37.54874651810585,4.77,73.0,56.2
02195,49.3681550126369,3.36,73.1,68.8
02198,44.49599325179249,3.28,69.6,72.8
02220,43.89625035241049,2.96,52.1,59.3
02230,41.06666666666667,2.87,66.4,53.3
02240,55.66820276497696,3.80,86.5,73.5
02261,52.21907459867799,3.55,61.6,74.6
02275,51.606621226874395,2.93,66.8,67.9
02282,42.00913242009132,3.57,79.0,66.2
02290,30.98060344827586,3.55,96.6,72.4
04001,38.788517755307424,4.42,69.0,78.9
04003,48.58959791081075,2.91,68.4,68.9
04005,43.69717790376631,3.33,65.3,61.0
04007,46.498063340168606,2.95,70.6,75.6
04009,49.88653898520468,3.70,69.4,70.3
04011,54.661558109833976,3.47,66.4,48.6
04012,47.39995720094158,2.67,33.8,71.5
04013,47.72771787312125,3.37,71.5,62.2
04015,47.72525866335209,2.84,64.9,69.3
04017,45.69591311803373,3.72,69.8,68.8
04019,43.6051381260516,3.10,69.1,63.2
04021,54.29370134465677,3.43,78.2,76.7
04023,52.5452595723207,3.39,80.2,67.7
04025,51.039782082816664,2.77,70.4,72.0
04027,53.8318421844647,3.26,62.8,67.1
05001,45.76158056334268,2.94,73.4,65.2
05003,55.35645223668945,3.17,75.4,77.5
05005,54.50501762950909,2.71,80.2,76.1
05007,58.865386790609676,3.18,80.8,66.6
05009,55.94652121857124,2.93,79.1,71.8
