cfips,pct_divorced,pct_never_married
01001,11.1,25.2
01003,13.4,24.7
01005,12.2,34.5
01007,12.5,32.0
01009,11.7,20.5
01011,8.4,45.5
01013,11.8,35.9
01015,12.8,28.3
01017,12.2,30.3
01019,11.5,19.8
01021,12.9,25.2
01023,13.2,28.0
01025,8.3,32.8
01027,11.6,22.4
01029,11.7,20.8
01031,12.4,24.9
01033,13.1,24.8
01035,11.7,35.3
01037,13.5,29.7
01039,13.4,21.9
01041,12.0,29.8
01043,13.6,22.0
01045,14.0,26.0
01047,10.8,39.8
01049,12.2,25.7
01051,12.8,28.8
01053,12.5,34.5
01055,14.1,27.2
01057,12.8,21.1
01059,13.3,26.6
01061,13.4,22.9
01063,10.9,44.0
01065,11.9,38.5
01067,10.9,25.8
01069,13.8,30.0
01071,12.4,21.0
01073,12.7,34.5
01075,10.4,19.2
01077,12.2,26.4
01079,12.1,22.8
01081,10.0,39.7
01083,11.8,28.2
01085,11.4,39.0
01087,11.2,45.3
01089,11.8,30.2
01091,11.5,34.3
01093,11.7,21.4
01095,13.1,24.0
01097,12.7,33.3
01099,10.1,33.3
01101,12.5,38.9
01103,12.3,26.5
01105,14.6,51.4
01107,11.2,31.1
01109,9.3,48.2
01111,12.0,26.8
01113,13.5,32.1
01115,13.4,22.6
01117,10.4,25.8
01119,9.8,46.1
01121,12.6,30.2
01123,12.2,26.1
01125,9.9,41.2
01127,13.6,23.2
01129,14.1,27.3
01131,11.0,42.7
01133,15.4,20.7
02013,9.1,38.5
02016,11.3,37.9
02020,11.9,34.2
02050,5.9,47.1
02060,12.2,24.2
02068,11.8,39.5
02070,7.8,42.3
02090,10.2,33.2
02100,16.6,21.1
02105,18.2,30.0
02110,12.0,32.2
02122,13.3,28.6
02130,14.1,30.5
02150,9.8,34.9
02158,4.1,58.9
02164,10.0,42.3
02170,12.6,32.1
02180,9.1,47.5
02185,8.8,37.0
02188,7.9,52.1
02195,11.2,30.1
02198,14.0,32.3
02220,14.3,28.6
02230,12.2,37.9
02240,8.8,32.1
02261,14.7,31.0
02275,16.7,23.1
02282,11.4,38.5
