cfips,birth_rate,pct_new_young_mothers
01001,54,3.2
01003,40,3.0
01005,71,3.2
01007,113,9.2
01009,41,10.0
01011,8,0.0
01013,36,18.8
01015,55,4.8
01017,79,3.4
01019,67,5.0
01021,31,1.3
01023,75,6.7
01025,33,14.5
01027,51,0.0
01029,28,0.0
01031,58,2.2
01033,42,0.0
01035,35,0.0
01037,64,0.0
01039,67,4.8
01041,44,6.8
01043,35,2.1
01045,68,4.3
01047,61,17.4
01049,59,7.3
01051,60,0.0
01053,46,0.0
01055,45,6.5
01057,58,0.0
01059,34,14.4
01061,43,10.0
01063,47,0.0
01065,35,0.0
01067,48,0.0
01069,56,5.7
01071,70,7.2
01073,53,2.8
01075,23,0.0
01077,39,8.7
01079,39,0.0
01081,39,5.5
01083,50,4.9
01085,53,0.0
01087,37,0.0
01089,52,1.3
01091,38,8.3
01093,36,5.8
01095,54,6.2
01097,63,2.1
01099,43,15.0
01101,54,4.7
01103,42,2.7
01105,20,0.0
01107,59,3.6
01109,48,0.0
01111,65,3.9
01113,57,4.6
01115,69,0.0
01117,47,0.0
01119,27,0.0
01121,58,4.0
01123,56,28.3
01125,49,4.5
01127,51,1.1
01129,50,3.7
01131,25,0.0
01133,21,0.0
02013,26,0.0
02016,61,0.0
02020,58,2.6
02050,75,2.2
02060,56,0.0
02063,105,0.0
02066,320,0.0
02068,8,0.0
02070,71,10.1
02090,77,0.7
02100,15,0.0
02105,41,7.1
02110,40,2.0
02122,45,1.1
02130,46,0.0
02150,44,2.1
02158,106,7.1
02164,25,12.5
02170,62,1.1
02180,77,10.1
02185,62,3.6
02188,67,13.6
02195,33,0.0
02198,53,0.0
02220,30,0.0
02230,44,0.0
02240,66,0.0
02275,87,0.0
02282,17,0.0
02290,78,9.8
04001,54,2.0
04003,60,0.7
04005,36,2.4
04007,63,0.0
04009,68,3.7
04011,95,0.0
04012,78,8.3
04013,55,4.4
04015,71,8.0
04017,62,7.1
04019,50,5.8
04021,59,4.8
04023,52,2.7
04025,45,3.3
04027,62,1.5
05001,56,4.2
05003,45,65.5
05005,67,8.2
05007,59,4.0
05009,60,11.0
05011,56,11.0
05013,66,0.0
05015,13,0.0
05017,121,0.0
05019,41,0.8
05021,78,0.0
05023,56,0.0
05025,41,21.4
05027,60,0.0
05029,25,0.0
05031,32,2.3
05033,72,2.6
05035,59,14.4
05037,75,8.6
05039,59,0.0
05041,68,22.6
05043,61,28.2
05045,48,1.5
