cfips,pct_k12_enrollment,pct_k12_public_students,pct_college_public_students,pct_college_enrollment
01001,95.49459351221466,87.1,81.1,30.0
01003,96.1934811555607,83.5,82.3,27.8
01005,95.60384032339566,88.8,86.2,20.5
01007,99.24607961399276,90.5,94.5,17.1
01009,92.24666064075525,91.7,85.6,25.1
01011,87.83102143757881,92.9,39.4,2.6
01013,96.12825166364186,85.8,90.1,27.0
01015,96.89816833842129,89.4,90.8,42.4
01017,94.92234169653524,89.8,86.1,33.3
01019,96.72252341054707,94.5,96.6,25.0
01021,96.66074149314373,94.6,92.5,23.0
01023,93.08731808731808,73.9,78.1,34.6
01025,95.1150895140665,87.3,92.4,25.4
01027,97.52144899904671,85.1,92.6,18.7
01029,97.79005524861878,92.2,79.2,26.1
01031,96.47591692443659,92.5,86.1,24.9
01033,95.87592108390777,91.7,86.3,29.6
01035,96.27100840336135,93.2,68.4,8.0
01037,98.46903270702853,86.9,96.3,12.1
01039,97.8326108702901,97.2,92.9,24.0
01041,97.45470232959448,93.3,92.6,30.3
01043,94.11331861662987,92.6,88.6,29.2
01045,96.65194996320824,93.6,91.0,22.4
01047,95.93519044911882,89.1,82.4,31.1
01049,97.07169811320755,91.3,89.0,29.0
01051,95.21197746812926,81.6,73.4,22.4
01053,97.15440582053355,89.7,93.3,23.3
01055,96.35144281055805,92.5,90.4,33.8
01057,97.42703533026113,93.4,91.1,33.6
01059,96.87555163283318,97.7,94.8,29.6
01061,99.17770671539516,92.0,82.0,25.9
01063,89.58652373660031,86.1,77.4,21.2
01065,94.33198380566802,88.3,87.9,24.8
01067,96.97081640192094,82.0,89.8,25.9
01069,97.8442513368984,86.1,82.3,30.8
01071,95.59931923170436,92.9,89.8,19.7
01073,96.39783907157386,89.9,77.7,42.3
01075,97.20790378006873,94.1,98.0,27.2
01077,96.59124519372966,89.1,94.5,54.8
01079,96.57660991857882,97.0,90.7,33.2
01081,96.22299987932907,89.3,91.0,72.1
01083,96.65770499816693,85.7,87.1,32.8
01085,98.13027744270205,83.5,88.7,22.3
01087,85.25269262634632,95.7,15.0,75.1
01089,97.09259544466691,83.6,85.1,53.0
01091,98.66045428072219,89.1,82.4,21.5
01093,91.84667513765353,95.9,82.4,27.7
01095,97.7593793422881,97.1,94.5,28.6
01097,96.51602486935093,83.7,80.0,36.6
01099,93.77248823692223,93.2,75.9,20.7
01101,97.23053499238725,78.9,76.5,41.0
01103,97.29515505796097,88.5,88.2,30.5
01105,97.63624425476034,87.4,69.5,57.9
01107,99.66375252185608,79.5,90.7,20.0
01109,96.38242894056847,86.6,97.7,71.7
01111,94.60743224364347,89.0,82.4,38.6
01113,95.32514234342223,91.0,78.6,22.8
01115,96.83927370544721,91.0,86.7,21.4
01117,97.46490676723235,86.2,81.2,43.5
01119,95.55555555555556,91.8,91.6,65.4
01121,98.02170733584789,93.3,81.2,29.4
01123,95.46039922730199,95.3,86.4,26.1
01125,95.77139928241927,89.1,94.8,62.1
01127,96.6418271557147,93.3,96.1,31.6
01129,96.81955138935386,91.6,76.9,27.4
01131,99.68520461699894,88.3,90.2,24.8
01133,91.22126834671836,96.9,95.1,30.1
02013,98.93333333333334,97.9,79.4,4.9
02016,98.36065573770492,97.7,70.8,6.1
02020,94.78679531956037,93.4,82.0,29.1
02050,96.68787014696206,99.7,90.2,5.7
02060,100.0,97.2,63.6,10.0
02068,100.0,82.4,85.5,14.5
02070,94.51162790697674,97.5,96.2,0.8
02090,94.55221568019833,85.2,87.5,27.8
02100,90.15317286652079,99.5,100.0,0.0
02105,97.41379310344827,84.3,95.1,5.7
02110,98.26395738804499,92.3,86.5,25.6
02122,95.35991714137752,84.6,75.1,21.9
02130,95.57245080500894,92.3,83.9,12.7
02150,96.15384615384616,93.6,80.4,17.3
02158,97.33806566104703,99.2,78.2,0.8
02164,99.15254237288136,100.0,85.7,3.9
02170,95.10991905742613,86.7,78.9,20.3
02180,98.324478953821,98.9,88.7,4.4
02185,96.21468926553672,99.3,83.5,13.4
02188,97.3186119873817,98.5,72.0,8.0
02195,94.54545454545455,98.3,66.7,5.1
02198,97.14540588760036,92.7,81.9,9.1
02220,96.85408299866131,96.0,59.1,21.1
02230,98.9795918367347,98.0,81.1,34.6
02240,97.1789161098738,81.3,78.9,14.7
02261,97.90076335877863,93.0,54.6,6.6
02275,97.41379310344827,94.6,95.6,21.1
02282,97.87234042553192,86.2,80.0,12.3
02290,98.90009165902842,98.0,92.8,10.6
04001,97.63875695481069,97.9,90.1,25.4
04003,97.75685960344482,93.2,83.4,18.7
04005,96.4673660755733,95.3,95.6,70.5
04007,95.06220341156855,92.0,73.3,18.3
04009,96.32881085395051,94.8,92.5,31.7
04011,98.1373070782331,92.1,89.3,11.0
04012,99.05466502260583,95.4,78.7,18.6
04013,96.10541044776119,92.5,80.6,37.8
04015,94.72062222548337,86.4,80.5,21.5
04017,96.43186003683242,95.2,87.1,14.0
04019,96.29111883532316,90.7,89.6,44.7
04021,95.3695745595187,90.2,77.3,23.6
04023,97.43589743589743,95.6,85.0,29.3
04025,95.7498223169865,88.5,67.7,45.4
04027,96.77909688916843,96.3,92.2,28.0
05001,97.06180344478217,87.8,86.3,20.1
05003,95.73348918760958,96.1,69.6,21.4
05005,95.38962212981377,94.7,93.2,26.9
05007,96.90735589553393,91.5,73.2,30.1
05009,96.77933673469387,93.1,82.2,24.2
05011,98.49974133471288,96.8,85.3,28.0
05013,99.0154711673699,94.4,67.6,35.9
05015,96.3809946714032,92.9,87.9,24.5
05017,96.9283276450512,89.7,87.4,18.3
05019,97.24950884086444,96.5,82.4,72.6
05021,97.18193120596767,94.8,81.5,21.9
05023,94.42297073440088,86.5,79.2,14.3
05025,97.11399711399712,94.1,86.1,24.6
05027,94.7279865395401,88.7,95.2,51.4
05029,97.98093101514301,88.3,93.6,34.8
05031,96.1741835147745,96.1,95.1,52.9
05033,94.72405414786533,96.3,93.1,23.5
05035,97.30692654301582,93.6,81.0,24.9
05037,93.58050120151047,97.4,87.1,26.9
05039,96.62731871838112,76.1,51.4,38.6
05041,98.26820603907638,98.7,67.0,17.4
05043,97.41760108732586,95.4,76.2,61.6
05045,95.52069014551832,92.5,82.1,56.3
05047,95.61290322580645,96.0,69.9,20.4
05049,91.73166926677067,93.2,69.3,20.3
05051,94.0172683391121,95.1,87.0,29.0
05053,95.85342333654773,95.9,85.0,23.8
05055,96.74355495251018,93.3,89.6,30.3
05057,97.82930439072521,92.9,90.6,11.7
05059,94.90784723541707,98.6,78.7,30.6
05061,93.98019801980197,94.1,96.5,30.7
05063,96.16510087786847,96.0,78.9,38.8
05065,97.69274057400112,96.9,82.7,23.3
05067,97.79353821907013,97.5,86.1,17.0
05069,96.3852171567305,94.8,64.0,38.8
05071,89.00866624392306,95.0,52.7,35.0
05073,91.24472573839662,84.7,84.8,17.2
05075,97.24014336917563,93.7,73.5,39.4
05077,98.424543946932,81.5,85.5,21.2
05079,87.63513513513513,78.0,50.7,13.2
05081,94.20505200594354,98.2,94.0,17.3
05083,98.33093525179856,92.7,92.8,26.7
05085,95.401634010556,94.9,82.6,26.8
05087,95.22928994082841,85.3,91.6,21.7
05089,92.42761692650335,93.3,94.1,15.1
05091,96.93074501573977,93.1,87.5,21.3
05093,95.45736626535931,96.6,90.8,15.0
05095,100.0,86.7,94.4,29.4
05097,91.72749391727494,96.5,97.0,13.1
05099,95.20400858983537,89.0,89.0,6.8
05101,94.89112227805695,78.4,91.3,34.6
05103,97.43911624403715,96.0,86.0,26.0
05105,97.24928366762178,95.6,77.9,46.0
05107,99.94134897360703,92.6,95.1,25.2
05109,97.79036827195468,89.7,85.9,19.4
05111,96.78039404132629,95.5,89.0,24.4
05113,93.6158030346407,91.1,93.5,10.3
05115,92.09683496608892,96.1,93.2,59.5
05117,98.91846921797006,94.0,91.9,25.2
05119,94.79271837234205,83.7,81.1,30.3
05121,96.3961038961039,89.1,83.3,23.3
05123,98.27826896230805,93.1,87.3,17.2
05125,97.12709284627093,92.7,86.8,29.1
05127,94.26315789473684,99.0,96.4,10.1
05129,97.43589743589743,91.8,91.8,15.5
05131,97.22755480155364,90.5,88.6,36.0
05133,98.41269841269842,99.1,97.2,22.1
05135,99.243788260713,96.8,88.5,16.0
05137,95.49597855227881,93.0,100.0,21.0
05139,96.44721577726219,93.5,82.9,30.2
05141,99.16666666666667,88.9,78.5,19.1
05143,95.03132847355974,91.5,92.1,60.0
05145,96.63227708179808,89.5,29.8,57.1
05147,97.36842105263158,98.6,61.7,29.6
05149,99.01707190894982,97.5,89.2,23.9
06001,97.8396135578409,90.3,84.7,55.9
06003,98.08917197452229,80.8,96.3,38.2
06005,97.06018518518519,94.1,71.7,27.2
06007,98.1606413553169,94.1,91.9,58.1
06009,94.83838212895583,95.6,76.6,34.2
06011,98.19503047351148,98.1,90.9,33.3
06013,98.0679832851436,89.6,80.0,46.4
06015,97.74384685505925,90.9,93.0,22.8
06017,97.31984137836729,91.6,86.3,39.0
06019,97.50803660655826,95.2,86.6,43.0
06021,96.89109639440765,91.5,90.8,32.6
06023,97.15374034493705,92.3,95.5,53.2
06025,98.44451091833682,96.7,93.1,42.0
06027,98.3148219073152,95.7,82.0,29.2
06029,97.30433393674795,95.1,79.4,32.6
06031,98.14266761914482,90.7,72.9,26.9
06033,97.2592822422174,95.2,80.5,30.4
06035,95.84120982986768,84.0,68.8,16.3
06037,97.09419781384977,91.0,77.0,50.1
06039,98.10511490941681,94.2,81.8,35.3
06041,97.46472608663422,82.4,70.1,47.1
06043,96.9106463878327,91.2,87.1,33.2
06045,97.98913841185968,93.6,82.7,33.9
06047,97.87482247920471,96.2,94.1,48.4
06049,94.18960244648318,85.3,94.1,14.9
06051,92.03132197144173,98.7,97.0,26.0
06053,96.96355292232232,94.8,84.6,43.2
06055,97.77858045873216,88.8,72.4,49.3
06057,95.29484599907136,91.1,81.9,39.6
06059,97.65988948779237,90.5,81.1,55.4
06061,97.47306681253893,93.7,81.1,44.7
06063,94.41316587267215,89.5,81.6,45.0
06065,97.34705946774723,93.8,78.3,42.8
06067,97.27906096175691,92.2,85.9,43.2
06069,98.76218736752861,92.6,86.9,42.4
06071,97.1923290504184,94.8,78.0,39.5
06073,97.65562567974771,92.1,79.9,45.5
06075,97.43238046404308,71.9,69.8,54.5
06077,97.56375030769128,94.1,75.0,39.8
06079,97.88234023013344,92.4,95.1,67.8
06081,97.98639714790073,82.6,75.7,48.6
06083,97.67828229496656,92.8,92.0,60.5
06085,98.02003373157109,85.1,72.7,56.2
