cfips,pct_with_scieng_degree,pct_with_libarts_degree,pct_with_business_degree
01001,28.6,23.1,25.4
01003,27.6,20.1,22.8
01005,20.9,17.3,19.7
01007,22.4,19.6,28.6
01009,22.3,22.7,17.2
01011,13.5,35.1,19.8
01013,19.6,18.2,23.8
01015,23.4,23.5,18.9
01017,27.1,20.6,22.1
01019,22.6,15.2,15.5
01021,24.4,20.6,26.8
01023,23.5,16.1,14.4
01025,17.3,17.6,19.6
01027,18.4,20.7,13.5
01029,15.8,15.1,17.2
01031,23.1,24.1,21.4
01033,22.8,16.3,20.4
01035,15.8,25.4,21.7
01037,22.9,19.9,21.2
01039,30.7,12.6,20.9
01041,24.4,15.2,27.0
01043,24.0,18.6,20.2
01045,28.7,21.6,23.5
01047,22.2,17.2,26.5
01049,22.4,15.2,18.3
01051,25.4,18.7,27.0
01053,16.7,21.7,22.5
01055,21.4,18.0,21.6
01057,22.4,14.1,23.3
01059,24.9,18.7,15.7
01061,27.7,15.5,19.8
01063,19.7,13.1,22.1
01065,28.0,17.2,15.3
01067,21.4,11.5,22.6
01069,27.9,17.9,22.5
01071,27.8,10.3,19.4
01073,28.2,22.6,25.8
01075,24.9,12.6,26.7
01077,28.4,19.8,19.4
01079,27.6,13.1,16.7
01081,33.8,20.7,19.3
01083,34.0,16.8,23.6
01085,33.2,12.7,23.1
01087,34.5,17.7,15.4
01089,41.8,17.4,23.1
01091,27.1,17.1,21.5
01093,15.9,19.8,22.2
01095,26.9,16.9,22.8
01097,28.0,18.8,23.0
01099,21.0,13.6,14.9
01101,29.7,23.0,25.8
01103,31.9,18.9,20.8
01105,11.6,18.2,29.8
01107,21.0,11.2,27.2
01109,24.9,25.6,22.6
01111,18.8,16.2,26.3
01113,24.9,20.3,25.1
01115,30.9,16.7,23.6
01117,27.3,19.6,28.8
01119,21.9,24.8,20.8
01121,21.7,20.9,23.2
01123,24.6,17.1,23.0
01125,29.7,22.5,20.2
01127,20.4,18.7,18.0
01129,21.7,18.8,21.6
01131,20.1,18.3,26.2
01133,23.3,17.8,16.5
02013,27.4,12.5,28.6
02016,40.3,15.3,27.0
02020,38.2,23.2,16.8
02050,28.9,22.1,6.8
02060,29.2,25.7,12.5
02068,36.0,23.2,13.3
02070,33.3,18.2,7.9
02090,41.4,23.7,12.3
02100,40.8,22.7,15.4
02105,36.4,22.9,8.7
02110,40.5,26.2,15.6
02122,35.0,23.1,12.3
02130,32.3,22.8,16.7
02150,31.7,21.3,13.7
02158,27.4,27.4,8.9
02164,14.2,24.6,3.7
02170,32.6,23.4,14.6
02180,35.7,18.8,10.3
02185,46.2,18.6,16.2
02188,32.7,19.8,16.8
02195,38.9,22.4,13.8
02198,29.2,21.7,11.8
02220,42.4,19.7,8.7
02230,29.3,28.9,31.9
02240,36.1,21.2,8.0
02261,39.8,23.3,6.7
02275,51.8,18.0,6.7
02282,44.4,42.2,2.2
02290,30.2,24.8,6.7
04001,28.7,11.6,14.0
04003,34.5,24.0,16.9
04005,37.2,26.4,12.6
04007,30.9,19.9,17.4
04009,26.7,16.6,14.6
04011,39.1,13.8,16.2
04012,30.5,15.4,21.9
04013,32.2,21.0,23.5
04015,26.9,20.2,18.3
04017,27.6,20.2,14.3
04019,37.6,21.9,17.4
04021,31.8,18.6,21.4
04023,31.5,16.5,24.1
04025,32.2,24.9,16.0
04027,30.7,21.4,17.3
05001,34.1,15.1,16.8
05003,32.6,10.8,14.5
05005,26.6,20.5,19.1
05007,32.5,17.3,27.5
05009,26.7,21.3,16.9
05011,19.1,19.1,20.8
05013,44.2,12.4,8.8
05015,26.7,18.8,19.8
05017,25.0,13.2,19.4
05019,25.8,22.2,22.1
05021,16.2,16.5,14.0
05023,23.1,16.3,15.7
05025,35.3,10.0,16.3
05027,29.0,15.0,23.2
05029,31.1,12.0,17.1
05031,30.0,16.9,22.0
05033,28.1,15.4,16.0
05035,20.5,18.9,22.1
05037,26.5,13.6,14.5
05039,25.4,20.2,19.6
05041,18.9,15.8,14.2
05043,27.1,18.3,16.0
