cfips,pct_multilingual
01001,3.8
01003,5.5
01005,5.7
01007,2.2
01009,7.7
01011,2.8
01013,1.5
01015,4.1
01017,1.4
01019,1.0
01021,7.7
01023,1.1
01025,1.2
01027,2.8
01029,3.0
01031,6.4
01033,2.7
01035,1.8
01037,1.4
01039,1.4
01041,3.0
01043,4.4
01045,4.9
01047,1.8
01049,12.4
01051,3.3
01053,1.9
01055,3.6
01057,0.6
01059,16.0
01061,3.4
01063,0.6
01065,1.8
01067,2.1
01069,3.8
01071,1.8
01073,5.9
01075,0.8
01077,3.0
01079,1.2
01081,7.5
01083,5.8
01085,1.0
01087,3.2
01089,6.5
01091,1.1
01093,3.4
01095,11.6
01097,4.8
01099,0.9
01101,5.6
01103,7.6
01105,0.9
01107,3.9
01109,4.3
01111,1.9
01113,5.2
01115,2.7
01117,7.9
01119,3.6
01121,2.7
01123,1.9
01125,5.6
01127,2.0
01129,1.8
01131,0.8
01133,2.5
02013,41.4
02016,53.9
02020,17.2
02050,63.4
02060,8.5
02068,15.3
02070,39.0
02090,10.6
02100,11.2
02105,11.3
02110,12.0
02122,7.3
02130,10.0
02150,24.3
02158,45.0
02164,11.6
02170,7.1
02180,30.9
02185,32.3
02188,35.0
02195,18.4
02198,5.7
02220,10.4
02230,11.0
02240,22.1
02261,8.3
02275,5.5
02282,14.4
02290,15.3
04001,54.6
04003,29.5
04005,23.9
04007,16.2
04009,21.3
04011,22.9
04012,18.9
04013,26.6
04015,11.2
04017,36.5
04019,28.4
04021,20.5
04023,78.6
04025,10.8
04027,53.8
05001,2.2
05003,4.6
05005,2.1
05007,13.0
05009,1.4
05011,13.2
05013,3.2
05015,13.2
05017,5.1
05019,5.3
05021,1.5
05023,2.9
05025,1.3
05027,4.4
05029,3.1
05031,5.6
05033,6.6
05035,2.5
05037,0.8
05039,3.8
05041,5.9
05043,2.8
05045,5.3
05047,1.9
05049,2.2
05051,5.7
05053,2.1
05055,1.6
05057,12.5
05059,1.8
05061,14.3
05063,4.4
05065,4.1
05067,2.2
05069,3.5
05071,13.5
05073,1.1
05075,1.2
05077,1.6
05079,3.5
05081,3.2
05083,2.7
05085,3.3
05087,5.1
05089,1.1
05091,2.2
05093,3.7
05095,2.1
05097,3.5
05099,2.6
05101,0.6
05103,1.6
05105,2.0
05107,1.6
05109,5.8
05111,2.0
05113,5.9
05115,8.2
05117,0.9
05119,7.8
05121,2.1
05123,3.2
05125,5.4
05127,7.6
05129,0.7
05131,15.3
05133,31.0
05135,1.8
05137,1.4
05139,3.6
05141,1.7
05143,17.4
05145,6.0
05147,0.2
05149,17.8
06001,44.6
06003,6.4
06005,11.1
06007,14.3
06009,7.3
06011,49.1
06013,34.8
06015,12.7
06017,12.4
06019,44.3
06021,39.0
06023,11.6
06025,76.1
06027,15.0
06029,44.1
06031,40.2
06033,15.3
06035,17.5
06037,56.6
06039,45.5
06041,22.7
06043,10.8
06045,21.9
06047,52.3
06049,14.2
06051,25.1
06053,54.1
06055,34.7
06057,8.5
06059,45.6
06061,14.6
06063,8.4
06065,40.2
06067,32.1
06069,40.6
06071,41.1
06073,37.7
06075,43.8
06077,41.2
06079,18.2
06081,46.2
06083,39.7
06085,52.4
06087,31.9
06089,8.6
06091,8.2
06093,8.4
06095,29.7
06097,25.6
06099,41.7
06101,37.9
06103,19.2
06105,10.5
06107,51.5
06109,7.9
06111,38.6
06113,37.7
06115,24.1
08001,28.6
08003,29.3
08005,22.6
08007,13.5
08009,8.5
08011,13.7
08013,16.1
08014,12.3
08015,7.1
08017,11.8
08019,4.4
08021,33.5
08023,46.3
08025,12.8
08027,6.6
08029,10.2
08031,26.7
08033,2.3
08035,9.3
08037,27.9
08039,4.1
08041,11.7
08043,7.6
08045,25.2
08047,4.7
08049,9.8
08051,9.0
08053,5.4
08055,10.3
08057,16.3
08059,11.0
08061,1.3
08063,14.6
08065,19.0
08067,11.2
08069,9.0
08071,16.4
08073,8.6
08075,6.9
08077,6.4
08079,3.9
08081,10.7
08083,11.6
08085,16.3
08087,26.8
08089,14.0
08091,10.8
08093,3.4
08095,19.3
08097,14.0
08099,22.5
08101,14.2
08103,7.7
08105,27.2
08107,7.0
08109,33.2
08111,9.5
08113,10.6
08115,6.9
08117,14.7
08119,4.3
08121,5.5
08123,19.5
08125,18.1
09001,29.5
09003,25.0
09005,10.3
09007,10.6
09009,21.7
09011,13.5
09013,11.1
09015,12.5
10001,10.0
10003,14.6
10005,10.7
11001,17.5
12001,13.2
12003,3.7
12005,6.9
12007,4.4
12009,10.4
12011,40.0
12013,6.9
12015,9.7
12017,5.9
12019,10.2
12021,32.5
12023,7.6
12027,29.4
12029,4.1
12031,13.9
12033,7.0
12035,14.4
12037,5.5
12039,11.0
12041,5.0
12043,22.5
12045,5.3
12047,9.2
12049,38.0
12051,47.2
12053,10.9
12055,18.8
12057,28.5
12059,2.5
12061,13.6
12063,6.0
12065,7.0
12067,17.7
12069,13.7
12071,22.1
12073,9.8
12075,6.5
12077,6.4
12079,6.5
12081,16.5
12083,11.5
12085,13.8
12086,73.8
12087,23.2
12089,4.6
12091,10.8
12093,23.5
12095,35.3
12097,49.6
12099,31.1
12101,13.9
12103,14.0
12105,20.6
12107,9.3
12109,8.3
12111,22.1
12113,5.8
12115,12.9
12117,21.1
12119,6.7
12121,9.7
12123,5.9
12125,6.2
12127,13.2
12129,6.1
12131,7.9
12133,3.9
13001,9.6
13003,23.2
13005,8.6
13007,5.4
13009,3.7
13011,7.3
13013,11.9
13015,8.4
13017,6.4
13019,5.7
13021,4.7
13023,2.2
13025,2.8
13027,6.5
13029,7.8
13031,5.0
13033,2.9
13035,3.7
13037,7.2
13039,7.0
13043,9.4
13045,6.8
13047,4.0
13049,10.5
13051,10.0
13053,14.2
13055,4.8
13057,11.4
13059,15.6
13061,2.4
13063,19.8
13065,4.6
13067,21.2
13069,12.4
13071,17.7
13073,9.4
13075,4.4
13077,8.7
13079,2.1
13081,4.3
13083,2.8
13085,4.1
13087,3.4
13089,19.0
13091,3.6
13093,6.6
13095,3.6
13097,11.0
