cfips,pct_below_poverty_level
01001,13.7
01003,11.8
01005,27.2
01007,15.2
01009,15.6
01011,28.5
01013,24.4
01015,18.6
01017,18.8
01019,16.1
01021,19.4
01023,22.3
01025,25.3
01027,19.1
01029,19.1
01031,16.1
01033,16.8
01035,26.4
01037,14.4
01039,17.6
01041,17.6
01043,16.4
01045,19.6
01047,31.9
01049,21.5
01051,13.5
01053,23.8
01055,17.9
01057,18.1
01059,23.0
01061,22.5
01063,38.8
01065,26.1
01067,13.7
01069,18.5
01071,19.0
01073,17.6
01075,23.1
01077,16.3
01079,16.6
01081,22.0
01083,14.8
01085,30.2
01087,25.9
01089,13.6
01091,25.6
01093,17.6
01095,21.0
01097,19.3
01099,33.7
01101,20.8
01103,16.6
01105,41.9
01107,22.9
01109,26.3
01111,18.7
01113,20.9
01115,13.7
01117,8.3
01119,36.0
01121,19.3
01123,21.2
01125,17.3
01127,21.5
01129,22.0
01131,31.9
01133,18.7
02013,16.7
02016,7.5
02020,8.1
02050,27.0
02060,7.1
02068,15.5
02070,16.6
02090,7.7
02100,8.4
02105,11.1
02110,7.4
02122,11.0
02130,10.6
02150,9.3
02158,39.1
02164,16.5
02170,9.8
02180,24.9
02185,10.2
02188,25.3
02195,7.8
02198,16.0
02220,9.2
02230,5.6
02240,13.9
02261,7.4
02275,11.7
02282,6.2
02290,25.5
04001,35.9
04003,18.1
04005,21.0
04007,21.9
04009,21.4
04011,11.5
04012,19.7
04013,15.7
04015,18.6
04017,29.1
04019,18.3
04021,15.5
04023,21.8
04025,14.7
04027,19.7
05001,20.7
05003,21.3
05005,12.6
05007,10.5
05009,15.8
05011,26.4
05013,19.6
05015,15.7
05017,29.4
05019,21.5
05021,22.3
05023,15.4
05025,19.3
05027,25.1
05029,18.5
05031,18.3
05033,16.6
05035,23.5
05037,18.0
05039,13.2
05041,32.6
05043,24.4
05045,16.3
05047,21.9
05049,23.0
05051,19.1
05053,14.4
05055,15.9
05057,25.3
05059,15.8
05061,21.0
05063,18.5
05065,17.7
05067,25.1
05069,24.7
05071,22.5
05073,23.8
05075,18.4
05077,27.3
05079,17.9
05081,18.8
05083,20.2
05085,12.3
05087,17.8
05089,19.5
05091,21.0
05093,25.6
05095,28.6
05097,18.1
05099,23.0
05101,17.8
05103,26.0
05105,17.8
05107,33.0
05109,17.3
05111,21.4
05113,26.6
05115,19.8
05117,16.8
05119,17.3
05121,20.9
05123,27.5
05125,8.0
05127,20.5
05129,17.4
05131,22.5
05133,21.2
05135,23.3
05137,24.2
05139,20.1
05141,19.6
05143,18.0
05145,16.6
05147,26.0
05149,17.8
06001,11.3
06003,19.8
06005,10.6
06007,20.5
06009,12.8
06011,14.0
06013,9.8
06015,23.2
06017,9.8
06019,25.4
06021,19.6
06023,20.8
06025,23.8
06027,10.2
06029,22.6
06031,20.9
06033,22.8
06035,14.6
06037,17.0
06039,22.1
06041,8.1
06043,15.1
06045,19.1
06047,23.3
06049,18.1
06051,9.9
06053,14.7
06055,8.2
06057,12.1
06059,12.1
06061,8.2
06063,13.3
06065,15.6
06067,16.7
06069,9.7
06071,18.2
06073,13.3
06075,11.7
06077,17.1
06079,13.8
06081,7.3
06083,15.4
06085,8.6
06087,14.7
06089,18.1
06091,12.3
06093,20.7
06095,11.5
06097,10.7
06099,17.2
06101,16.7
06103,20.9
06105,19.9
06107,27.1
06109,13.6
06111,10.3
06113,19.4
06115,18.5
08001,12.2
08003,27.8
08005,9.9
08007,11.6
08009,19.5
08011,24.5
08013,13.1
08014,5.2
08015,9.6
08017,11.8
08019,6.8
08021,21.1
08023,29.6
08025,24.6
08027,15.7
08029,16.5
08031,15.1
08033,14.1
08035,3.6
08037,7.7
08039,4.8
08041,11.1
08043,15.8
08045,9.6
08047,5.6
08049,13.1
08051,14.1
08053,12.0
08055,14.8
08057,12.8
08059,7.8
08061,10.6
08063,11.5
08065,12.8
08067,9.6
08069,12.4
08071,17.0
08073,14.0
08075,16.8
08077,16.0
08079,12.0
08081,10.1
08083,16.8
08085,17.8
08087,9.3
08089,22.9
08091,10.4
08093,6.6
08095,8.1
08097,7.1
08099,18.3
08101,19.8
08103,11.8
08105,18.1
08107,10.7
08109,21.0
08111,3.3
08113,10.5
08115,17.0
08117,10.3
08119,7.5
08121,9.9
08123,11.2
08125,14.3
09001,8.8
09003,11.2
09005,6.8
09007,7.2
09009,12.1
09011,9.9
09013,6.5
09015,11.1
10001,13.0
10003,11.9
10005,12.0
11001,17.4
12001,23.3
12003,17.2
12005,15.4
12007,18.8
12009,13.4
12011,14.0
12013,12.9
12015,12.0
12017,17.4
12019,10.4
12021,12.8
12023,16.8
12027,29.9
12029,23.7
12031,16.0
12033,14.6
12035,13.3
12037,20.1
12039,24.4
12041,19.8
12043,18.0
12045,14.9
12047,26.6
12049,24.5
12051,25.5
12053,14.3
12055,18.7
12057,15.7
12059,26.6
12061,12.7
12063,21.6
12065,13.9
12067,17.8
12069,12.8
12071,14.9
12073,20.5
12075,21.9
12077,17.8
12079,31.9
12081,13.4
12083,17.6
12085,10.9
12086,19.0
12087,12.7
12089,11.4
12091,11.5
12093,22.3
12095,16.7
12097,17.8
12099,13.4
12101,13.6
12103,13.7
12105,17.3
12107,27.6
12109,9.1
12111,16.6
12113,11.3
12115,10.5
12117,11.8
12119,9.2
12121,20.4
12123,16.4
12125,21.4
12127,16.1
12129,12.6
12131,17.0
12133,21.0
13001,24.7
13003,27.4
13005,23.2
13007,19.5
13009,27.8
13011,14.3
13013,13.2
13015,14.2
13017,30.4
13019,23.7
13021,26.7
13023,23.0
13025,21.8
13027,23.6
13029,14.1
13031,30.4
13033,29.2
13035,23.5
13037,32.2
13039,12.7
13043,31.5
13045,18.6
13047,10.8
13049,23.1
13051,17.3
13053,15.0
13055,22.5
13057,9.4
13059,34.1
13061,41.4
13063,21.9
13065,39.5
13067,10.9
13069,23.9
13071,25.4
13073,8.6
13075,24.2
13077,11.6
13079,18.1
13081,31.2
13083,17.5
13085,11.8
13087,24.1
13089,17.6
13091,22.2
13093,23.2
13095,30.5
13097,14.2
13099,27.5
13101,28.2
13103,9.6
13105,22.4
13107,29.2
13109,26.0
13111,15.8
13113,6.3
13115,18.1
13117,6.5
13119,25.4
13121,16.0
13123,18.8
13125,11.5
13127,19.2
13129,18.8
13131,25.4
13133,21.9
13135,12.1
13137,17.2
13139,16.1
13141,30.0
13143,18.0
13145,7.3
13147,18.8
13149,17.4
13151,11.4
13153,16.7
13155,24.5
13157,12.5
13159,19.4
13161,20.6
13163,26.9
13165,30.7
13167,21.5
13169,14.2
13171,20.8
13173,28.7
13175,27.3
13177,11.6
13179,16.6
13181,23.0
13183,20.0
13185,25.0
13187,20.1
13189,26.0
13191,20.3
13193,28.6
13195,17.6
13197,23.1
13199,22.7
13201,23.3
13205,27.1
13207,13.3
13209,19.5
13211,13.4
13213,18.0
13215,21.7
13217,16.7
13219,6.9
13221,17.6
13223,9.7
13225,18.7
13227,9.8
13229,21.0
13231,12.3
13233,19.0
13235,21.8
13237,16.2
13239,22.8
13241,20.3
13243,35.1
13245,24.2
13247,16.3
13249,22.2
13251,22.6
13253,25.5
13255,21.6
13257,18.1
13259,41.5
13261,33.4
13263,16.9
13265,31.0
13267,23.7
13269,28.2
13271,27.7
13273,35.3
13275,19.5
13277,27.8
13279,24.4
13281,14.7
13283,21.0
13285,21.3
13287,27.9
13289,27.3
13291,12.8
13293,22.7
13295,17.2
13297,12.8
13299,24.8
13301,26.8
13303,27.1
13305,21.3
13307,19.5
13309,29.3
13311,17.7
13313,19.2
13315,21.8
13317,26.5
13319,23.3
13321,21.5
15001,17.4
15003,9.1
15005,12.7
15007,9.1
15009,10.0
16001,11.8
16003,13.8
16005,17.6
16007,14.5
16009,15.8
16011,13.1
16013,14.8
16015,11.3
16017,14.0
16019,11.9
16021,18.3
16023,16.2
16025,22.3
16027,17.1
16029,9.4
16031,14.7
16033,24.2
16035,13.9
16037,18.9
16039,14.9
16041,12.2
16043,11.9
16045,20.7
16047,15.9
16049,13.5
16051,9.5
16053,16.3
16055,12.6
16057,22.5
16059,17.1
16061,15.3
16063,11.5
16065,31.8
16067,17.9
16069,14.4
16071,12.6
16073,23.3
16075,15.5
16077,11.6
16079,17.4
16081,8.3
16083,14.4
16085,10.4
16087,15.7
17001,13.1
17003,33.4
17005,15.7
17007,10.6
17009,11.6
17011,12.6
17013,12.8
17015,11.3
17017,13.1
17019,21.4
17021,12.8
17023,14.3
17025,14.0
17027,9.0
17029,21.0
17031,15.9
17033,11.9
17035,14.3
17037,18.1
17039,13.3
17041,12.1
17043,6.8
17045,15.4
17047,11.5
17049,11.3
17051,17.8
17053,15.7
17055,19.9
17057,15.5
17059,16.6
17061,17.9
17063,9.4
17065,13.9
17067,11.2
17069,16.6
17071,11.3
17073,12.5
17075,15.5
17077,27.9
17079,12.4
17081,18.9
17083,9.4
17085,7.6
17087,13.9
17089,10.4
17091,15.1
17093,5.6
17095,18.1
17097,8.5
17099,13.6
17101,16.4
17103,11.8
17105,13.3
17107,9.2
17109,22.3
17111,7.3
17113,14.5
17115,16.6
17117,13.3
17119,13.5
17121,17.8
17123,10.3
17125,13.9
17127,18.4
17129,11.4
17131,11.4
17133,5.3
17135,15.6
17137,14.9
17139,12.1
17141,11.1
17143,15.9
17145,14.7
17147,5.4
17149,14.9
17151,12.7
17153,17.1
17155,8.9
17157,12.3
17159,15.0
17161,14.6
17163,17.0
17165,20.6
17167,15.6
17169,21.5
17171,14.9
17173,12.1
17175,14.0
17177,16.1
17179,8.0
17181,16.8
17183,19.8
17185,13.1
17187,13.8
17189,9.7
17191,15.8
17193,13.9
17195,11.1
17197,7.4
17199,15.2
17201,15.3
17203,7.4
18001,18.9
18003,14.7
18005,12.4
18007,14.9
18009,12.8
18011,6.1
18013,10.6
18015,10.2
18017,13.9
18019,9.7
18021,13.9
18023,13.3
18025,17.8
18027,13.0
18029,10.1
18031,11.4
18033,12.5
18035,21.2
18037,10.0
18039,13.8
18041,18.2
18043,10.8
18045,12.6
18047,9.9
18049,13.3
18051,10.7
18053,19.1
18055,12.9
18057,5.0
18059,7.0
18061,12.9
18063,5.1
18065,16.1
18067,16.5
18069,11.6
18071,15.6
18073,9.0
18075,17.9
18077,13.7
18079,13.9
18081,9.4
18083,15.6
18085,11.2
18087,9.1
18089,16.8
18091,16.6
18093,11.5
18095,17.4
18097,19.8
18099,11.5
18101,13.3
18103,16.0
18105,24.7
18107,10.2
18109,11.8
18111,14.0
18113,9.3
18115,5.0
18117,15.0
18119,15.6
18121,13.9
18123,14.5
18125,10.6
18127,11.0
18129,9.5
18131,13.2
18133,11.6
18135,17.0
18137,10.5
18139,18.3
18141,17.1
18143,13.7
18145,10.6
18147,9.7
18149,16.7
18151,10.1
18153,15.6
18155,19.7
18157,20.9
18159,9.4
18161,8.2
18163,18.0
18165,13.4
18167,19.9
18169,13.3
18171,9.5
18173,7.7
18175,13.3
18177,18.2
18179,11.0
18181,9.8
18183,9.5
19001,9.5
19003,11.2
19005,11.4
19007,17.1
19009,11.1
19011,8.7
19013,15.9
19015,9.4
19017,7.7
19019,7.8
19021,13.7
19023,9.4
19025,15.3
19027,10.3
19029,15.1
19031,5.4
19033,11.3
19035,11.9
19037,8.9
19039,15.4
19041,11.8
19043,10.4
19045,13.1
19047,18.5
19049,5.4
19051,13.7
19053,19.1
19055,9.2
19057,15.3
19059,8.1
19061,11.9
19063,13.8
19065,12.8
19067,15.6
19069,15.6
19071,11.0
19073,10.0
19075,5.8
19077,10.1
19079,9.4
19081,9.1
19083,8.0
19085,10.4
19087,12.2
19089,11.6
19091,13.0
19093,10.3
19095,9.8
19097,12.0
19099,9.1
19101,15.2
19103,17.7
19105,9.1
19107,11.2
19109,10.0
19111,16.3
19113,9.5
19115,11.0
19117,9.9
19119,4.9
19121,7.3
19123,14.4
19125,9.3
19127,11.2
19129,9.1
19131,8.3
19133,14.9
19135,10.9
19137,16.5
19139,10.5
19141,9.7
19143,11.4
19145,13.6
19147,7.1
19149,9.1
19151,13.2
19153,11.7
19155,11.2
19157,10.7
19159,10.9
19161,9.4
19163,12.3
19165,8.7
19167,7.9
19169,22.0
19171,11.8
19173,11.0
19175,13.8
19177,14.0
19179,17.0
19181,6.2
19183,9.1
19185,15.9
19187,16.2
19189,10.1
19191,8.0
19193,14.0
19195,10.1
19197,12.6
20001,14.2
20003,13.6
20005,18.5
20007,15.9
20009,15.7
20011,17.6
20013,13.2
20015,10.8
