cfips,pct_disabled
01001,17.7
01003,14.2
01005,18.8
01007,18.1
01009,15.0
01011,12.3
01013,15.8
01015,20.4
01017,18.5
01019,16.7
01021,20.3
01023,25.8
01025,19.3
01027,19.2
01029,20.6
01031,17.6
01033,17.6
01035,22.8
01037,23.6
01039,20.2
01041,22.5
01043,18.8
01045,21.2
01047,18.0
01049,13.4
01051,15.6
01053,18.7
01055,17.9
01057,24.6
01059,13.2
01061,24.6
01063,21.5
01065,24.6
01067,18.5
01069,16.2
01071,20.0
01073,15.4
01075,24.0
01077,14.4
01079,22.9
01081,13.0
01083,15.5
01085,27.3
01087,17.6
01089,13.0
01091,25.1
01093,26.4
01095,13.9
01097,13.6
01099,15.3
01101,16.4
01103,16.7
01105,23.5
01107,25.2
01109,16.2
01111,16.9
01113,20.2
01115,15.8
01117,12.0
01119,21.6
01121,20.9
01123,20.0
01125,12.9
01127,24.5
01129,17.9
01131,18.4
01133,22.6
02013,10.7
02016,7.9
02020,11.2
02050,11.4
02060,15.9
02063,11.2
02066,16.3
02068,16.3
02070,12.0
02090,11.1
02100,19.0
02105,17.6
02110,11.6
02122,15.4
02130,14.8
02150,9.5
02158,12.9
02164,16.0
02170,14.1
02180,9.0
02185,10.5
02188,9.3
02195,21.1
02198,22.9
02220,13.0
02230,14.7
02240,19.4
02275,16.5
02282,7.7
02290,16.0
04001,14.3
04003,17.6
04005,12.8
04007,21.0
04009,13.9
04011,12.2
04012,26.5
04013,11.4
04015,22.2
04017,18.9
04019,15.2
04021,16.1
04023,14.0
04025,18.2
04027,12.6
05001,21.6
05003,22.4
05005,23.4
05007,10.2
05009,20.3
05011,20.9
05013,21.9
05015,14.4
05017,25.5
05019,22.7
05021,22.6
05023,20.1
05025,19.9
05027,18.7
05029,25.2
05031,18.9
05033,19.3
05035,16.7
05037,18.1
05039,24.5
05041,18.0
05043,19.4
05045,14.6
05047,24.0
05049,23.2
05051,21.6
05053,18.3
05055,21.5
05057,19.4
05059,23.3
05061,18.6
05063,18.9
05065,26.8
05067,23.1
05069,18.6
05071,20.7
05073,24.3
05075,23.6
05077,23.5
05079,19.1
05081,19.5
05083,23.7
05085,15.3
05087,21.6
05089,26.4
05091,18.8
05093,18.4
05095,24.7
05097,27.0
05099,23.2
05101,23.5
05103,24.6
05105,23.4
05107,23.9
05109,25.0
05111,21.7
05113,22.4
05115,17.8
05117,22.7
05119,15.6
05121,22.8
05123,19.6
05125,16.6
05127,23.1
05129,23.2
05131,19.9
05133,14.4
05135,26.8
05137,24.5
05139,16.6
05141,26.2
05143,10.9
05145,17.7
05147,20.1
05149,17.3
06001,9.2
06003,15.7
06005,17.9
06007,17.0
06009,20.1
06011,13.4
06013,11.2
06015,18.5
06017,13.1
06019,13.0
06021,15.1
06023,16.8
06025,13.9
06027,15.3
06029,11.4
06031,11.9
06033,20.2
06035,16.5
06037,10.1
06039,13.4
06041,8.9
06043,19.1
06045,17.7
06047,13.1
06049,16.3
06051,6.4
06053,8.9
06055,12.2
06057,13.9
06059,8.9
06061,10.5
06063,16.8
06065,11.6
06067,12.0
06069,10.2
06071,11.4
06073,10.0
06075,10.1
06077,12.4
06079,11.7
06081,8.2
06083,10.1
06085,8.1
06087,11.5
06089,18.1
06091,16.5
06093,18.6
06095,12.1
06097,11.7
06099,13.0
06101,12.5
06103,19.0
06105,17.7
06107,11.7
06109,20.0
06111,11.0
06113,10.2
06115,15.3
08001,10.9
08003,17.6
08005,9.6
08007,15.5
08009,18.9
08011,21.3
08013,8.1
08014,7.8
08015,14.8
08017,11.6
08019,13.0
08021,20.6
08023,25.1
08025,23.7
08027,17.3
08029,18.5
08031,9.7
08033,17.6
08035,7.0
08037,5.7
08039,9.3
08041,12.4
08043,17.3
08045,8.3
08047,9.0
08049,5.7
08051,8.2
08053,21.9
08055,22.4
08057,13.0
08059,10.3
08061,12.0
08063,15.6
08065,13.9
08067,9.5
08069,10.1
08071,22.8
08073,16.8
08075,15.5
08077,15.1
08079,10.6
08081,13.9
08083,17.3
08085,14.5
08087,10.5
08089,20.2
08091,11.3
08093,11.7
08095,10.9
08097,7.2
08099,17.6
08101,18.7
08103,13.7
08105,20.4
08107,6.8
08109,15.0
08111,6.2
08113,5.1
08115,16.2
08117,6.4
08119,14.4
08121,11.3
08123,10.9
08125,9.1
09001,9.8
09003,12.1
09005,12.6
09007,11.0
09009,11.5
09011,12.4
09013,10.0
09015,14.0
10001,16.1
10003,12.1
10005,14.0
11001,11.4
12001,11.2
12003,16.1
12005,19.5
12007,17.3
12009,16.2
12011,11.0
12013,24.0
12015,22.9
12017,21.7
12019,13.5
12021,11.8
12023,21.3
12027,16.2
12029,25.4
12031,12.9
12033,16.0
12035,14.6
12037,21.0
12039,19.2
12041,21.4
12043,17.3
12045,22.5
12047,20.0
12049,11.6
12051,11.6
12053,19.6
12055,21.2
12057,11.8
12059,22.4
12061,16.5
12063,19.8
12065,17.9
12067,17.2
12069,17.0
12071,13.8
12073,11.7
12075,20.3
12077,24.8
12079,15.9
12081,14.9
12083,17.3
12085,14.9
12086,10.2
12087,10.2
12089,17.5
12091,15.4
12093,16.9
12095,11.2
12097,14.6
12099,12.4
12101,16.5
12103,15.9
12105,15.3
12107,17.4
12109,11.4
12111,15.7
12113,16.1
12115,15.3
12117,10.8
12119,19.4
12121,21.3
12123,22.9
12125,15.2
12127,17.6
12129,13.4
12131,16.9
12133,20.3
13001,15.1
13003,15.3
13005,19.2
13007,19.6
13009,16.5
13011,18.8
13013,13.4
13015,13.1
13017,12.1
13019,17.5
13021,16.1
13023,18.9
13025,17.3
13027,14.7
13029,11.7
13031,13.3
13033,12.9
13035,15.5
13037,17.6
13039,12.4
13043,18.6
13045,14.7
13047,17.3
13049,22.6
13051,15.1
13053,12.7
13055,18.3
13057,10.7
13059,12.5
13061,22.4
13063,11.0
13065,16.7
13067,9.1
13069,17.7
13071,15.2
13073,12.5
13075,15.9
13077,11.2
13079,21.3
13081,19.3
13083,17.5
13085,14.7
13087,15.5
13089,10.8
13091,19.9
13093,17.1
13095,16.5
13097,11.6
13099,16.0
13101,12.7
13103,10.7
13105,21.1
13107,19.3
13109,13.3
13111,24.5
13113,11.2
13115,16.0
13117,7.3
13119,19.2
13121,10.0
13123,20.4
13125,14.5
13127,14.7
13129,15.3
13131,20.2
13133,14.1
13135,7.1
13137,16.7
13139,11.7
13141,16.1
13143,17.2
13145,16.2
13147,21.0
13149,25.5
13151,9.6
13153,12.5
13155,13.8
13157,14.1
13159,18.5
13161,18.3
13163,15.7
13165,15.8
13167,20.3
13169,13.6
13171,18.9
13173,14.5
13175,14.5
13177,11.9
13179,14.4
13181,19.3
13183,19.6
13185,11.3
13187,12.6
13189,13.0
13191,20.6
13193,18.6
13195,17.8
13197,16.2
13199,21.6
13201,13.6
13205,17.9
13207,17.5
13209,15.0
13211,14.1
13213,12.2
13215,17.8
13217,15.1
13219,9.9
13221,13.9
13223,11.2
13225,18.1
13227,19.1
13229,12.3
13231,11.7
13233,15.3
13235,20.3
13237,20.0
13239,22.9
13241,21.3
13243,16.2
13245,17.9
