cfips,pct_snap_households
01001,12.7
01003,7.5
01005,27.4
01007,12.4
01009,9.5
01011,25.9
01013,18.6
01015,17.9
01017,14.7
01019,15.9
01021,18.2
01023,24.7
01025,19.5
01027,15.7
01029,15.3
01031,12.8
01033,11.9
01035,17.8
01037,10.3
01039,14.4
01041,18.7
01043,12.0
01045,19.2
01047,31.0
01049,19.0
01051,12.7
01053,16.9
01055,14.1
01057,18.5
01059,17.7
01061,18.7
01063,41.8
01065,27.1
01067,17.3
01069,14.7
01071,12.7
01073,14.7
01075,17.6
01077,12.8
01079,15.4
01081,11.7
01083,11.4
01085,32.3
01087,24.2
01089,10.6
01091,21.0
01093,14.8
01095,15.6
01097,17.0
01099,15.9
01101,19.1
01103,13.5
01105,38.8
01107,16.1
01109,16.5
01111,15.0
01113,19.2
01115,10.9
01117,5.4
01119,29.6
01121,17.4
01123,20.1
01125,10.0
01127,16.2
01129,16.3
01131,24.5
01133,14.2
02013,12.9
02016,6.0
02020,8.7
02050,39.4
02060,5.7
02068,5.6
02070,26.4
02090,6.9
02100,7.7
02105,14.0
02110,8.2
02122,9.6
02130,14.8
02150,9.2
02158,59.9
02164,24.0
02170,10.3
02180,31.8
02185,17.4
02188,34.5
02195,11.1
02198,17.6
02220,8.3
02230,2.8
02240,8.8
02261,4.6
02275,13.8
02282,8.6
02290,31.8
04001,25.6
04003,16.2
04005,11.6
04007,17.1
04009,17.1
04011,7.6
04012,14.6
04013,10.1
04015,15.2
04017,23.2
04019,13.6
04021,11.8
04023,27.3
04025,9.3
04027,19.0
05001,17.4
05003,19.5
05005,9.9
05007,5.7
05009,15.4
05011,19.5
05013,10.9
05015,8.0
05017,24.9
05019,13.1
05021,16.8
05023,8.0
05025,13.9
05027,18.6
05029,13.9
05031,13.7
05033,12.3
05035,20.6
05037,13.7
05039,19.0
05041,26.8
05043,15.0
05045,10.3
05047,15.4
05049,16.3
05051,12.2
05053,10.1
05055,15.5
05057,13.9
05059,16.5
05061,17.0
05063,10.7
05065,12.8
05067,20.1
05069,19.6
05071,13.9
05073,19.2
05075,15.3
05077,29.2
05079,16.8
05081,16.9
05083,16.8
05085,11.0
05087,9.6
05089,13.7
05091,13.7
05093,22.3
05095,22.4
05097,15.3
05099,22.3
05101,11.8
05103,17.9
05105,14.0
05107,29.5
05109,13.1
05111,20.1
05113,14.0
05115,12.5
05117,12.4
05119,10.7
05121,15.7
05123,24.0
05125,7.5
05127,19.1
05129,13.6
05131,14.5
05133,15.3
05135,18.4
05137,18.2
05139,14.2
05141,14.8
05143,7.7
05145,11.8
05147,26.7
05149,13.2
06001,6.5
06003,11.7
06005,7.5
06007,11.9
06009,8.6
06011,15.2
06013,6.4
06015,17.3
06017,6.1
06019,20.1
06021,10.8
06023,12.3
06025,21.5
06027,8.5
06029,17.0
06031,16.9
06033,11.4
06035,8.2
06037,8.8
06039,17.6
06041,3.0
06043,10.6
06045,11.5
06047,19.7
06049,9.5
06051,4.2
06053,7.1
06055,4.5
06057,6.2
06059,6.4
06061,4.1
06063,8.5
06065,9.7
06067,11.6
06069,9.2
06071,15.3
06073,7.2
06075,4.7
06077,14.5
06079,4.8
06081,3.5
06083,8.1
06085,4.7
06087,8.6
06089,10.9
06091,13.1
06093,12.2
06095,9.1
06097,6.5
06099,14.7
06101,12.7
06103,14.0
06105,11.1
06107,22.4
06109,9.8
06111,7.2
06113,9.1
06115,15.7
08001,9.9
08003,24.1
08005,6.8
08007,7.8
08009,13.4
08011,26.3
08013,5.3
08014,3.1
08015,6.0
08017,12.0
08019,6.3
08021,23.0
08023,29.2
08025,18.5
08027,7.1
08029,13.0
08031,9.0
08033,8.6
08035,1.8
08037,2.6
08039,3.6
08041,9.6
08043,14.4
08045,6.0
08047,4.7
08049,5.4
08051,6.7
08053,3.4
08055,15.9
08057,5.7
08059,4.6
08061,14.3
08063,7.8
08065,8.6
08067,4.2
08069,6.4
08071,20.7
08073,11.3
08075,12.0
08077,11.5
08079,2.1
08081,11.7
08083,12.8
08085,11.9
08087,12.7
08089,18.6
08091,7.0
08093,2.9
08095,9.4
08097,2.7
08099,18.9
08101,18.5
08103,7.3
08105,18.5
08107,2.9
08109,17.6
08111,4.9
08113,3.2
08115,17.2
08117,2.8
08119,9.2
08121,7.2
08123,8.4
08125,9.2
09001,8.9
09003,15.0
09005,7.9
09007,8.0
09009,15.2
09011,11.7
09013,6.7
09015,15.2
10001,16.2
10003,10.0
10005,12.0
11001,13.9
12001,10.3
12003,17.8
12005,13.7
12007,19.5
12009,10.7
12011,13.6
12013,19.4
12015,8.7
12017,12.9
12019,10.7
12021,8.0
12023,19.3
12027,20.9
12029,28.7
12031,16.2
12033,14.5
12035,9.0
12037,15.5
12039,24.6
12041,18.8
12043,15.0
12045,10.5
12047,32.2
12049,24.2
12051,28.2
12053,15.1
12055,14.0
12057,14.9
12059,21.5
12061,9.9
12063,17.3
12065,15.8
12067,17.7
12069,11.9
12071,10.2
12073,12.2
12075,19.2
12077,18.7
12079,19.9
12081,10.1
12083,15.7
12085,6.9
12086,25.4
12087,6.5
12089,10.4
12091,9.6
12093,18.7
12095,15.8
12097,21.7
12099,10.3
12101,13.9
12103,10.9
12105,15.4
12107,21.4
12109,5.8
12111,12.9
12113,11.3
12115,6.4
12117,8.6
12119,4.8
12121,23.6
12123,21.6
12125,20.3
12127,13.8
12129,12.7
12131,10.6
12133,19.6
13001,19.0
