cfips,pct_unemployed
01001,3.7
01003,4.3
01005,9.2
01007,7.3
01009,3.4
01011,3.9
01013,6.8
01015,8.1
01017,3.9
01019,4.4
01021,6.4
01023,7.9
01025,12.2
01027,5.4
01029,5.9
01031,5.7
01033,4.4
01035,9.2
01037,2.9
01039,8.4
01041,3.4
01043,5.1
01045,8.0
01047,11.0
01049,4.0
01051,4.6
01053,11.0
01055,5.5
01057,6.3
01059,4.8
01061,5.4
01063,11.5
01065,10.9
01067,5.9
01069,6.4
01071,5.1
01073,6.5
01075,8.8
01077,4.7
01079,5.3
01081,5.2
01083,6.2
01085,9.9
01087,11.3
01089,5.0
01091,8.0
01093,5.5
01095,4.3
01097,5.8
01099,15.4
01101,6.6
01103,5.1
01105,10.1
01107,10.3
01109,6.1
01111,4.2
01113,6.4
01115,5.3
01117,3.6
01119,9.7
01121,8.5
01123,9.9
01125,5.8
01127,8.4
01129,7.3
01131,15.3
01133,7.3
02013,3.9
02016,2.1
02020,5.7
02050,18.4
02060,9.7
02068,1.5
02070,11.9
02090,6.5
02100,4.8
02105,10.7
02110,4.6
02122,7.2
02130,5.9
02150,5.6
02158,27.2
02164,15.2
02170,9.1
02180,17.2
02185,9.0
02188,18.2
02195,4.1
02198,11.3
02220,5.0
02230,6.5
02240,11.0
02261,3.4
02275,6.6
02282,5.8
02290,17.0
04001,10.5
04003,6.3
04005,7.6
04007,8.8
04009,8.3
04011,5.7
04012,8.9
04013,5.0
04015,8.0
04017,12.7
04019,7.0
04021,7.1
04023,7.7
04025,5.7
04027,10.0
05001,5.8
05003,5.4
05005,4.6
05007,2.4
05009,4.5
05011,7.6
05013,4.4
05015,3.7
05017,9.9
05019,2.0
05021,5.2
05023,4.3
05025,5.5
05027,10.9
05029,6.7
05031,6.2
05033,4.5
05035,8.8
05037,6.1
05039,3.3
05041,8.2
05043,3.9
05045,3.8
05047,3.1
05049,5.7
05051,5.5
05053,3.9
05055,7.6
05057,4.6
05059,6.0
05061,6.8
05063,4.7
05065,8.6
05067,7.5
05069,9.1
05071,3.8
05073,5.4
05075,7.2
05077,12.3
05079,2.3
05081,10.0
05083,6.2
05085,3.6
05087,4.2
05089,4.8
05091,7.0
05093,9.2
05095,7.5
05097,7.6
05099,5.8
05101,3.5
05103,7.8
05105,5.5
05107,10.6
05109,4.7
05111,5.8
05113,9.3
05115,6.4
05117,7.1
05119,4.7
05121,4.3
05123,6.2
05125,3.7
05127,8.1
05129,3.8
05131,4.8
05133,5.5
05135,4.3
05137,6.3
05139,5.0
05141,7.4
05143,4.8
05145,5.7
05147,7.8
05149,4.2
06001,4.6
06003,12.5
06005,6.9
06007,8.1
06009,6.4
06011,4.3
06013,5.3
06015,7.7
06017,5.5
06019,8.7
06021,5.3
06023,7.8
06025,14.2
06027,4.1
06029,9.8
06031,7.6
06033,8.7
06035,6.5
06037,6.1
06039,8.7
06041,3.7
06043,8.3
06045,8.7
06047,11.9
06049,8.6
06051,3.4
06053,4.9
06055,4.5
06057,4.6
06059,4.6
06061,4.2
06063,5.4
06065,7.5
06067,6.5
06069,6.9
06071,7.7
06073,6.0
06075,4.2
06077,7.8
06079,4.0
06081,3.7
06083,5.8
06085,4.3
06087,5.7
06089,5.5
06091,5.3
06093,7.1
06095,6.0
06097,4.4
06099,9.1
06101,8.3
06103,8.6
06105,8.8
06107,9.5
06109,5.2
06111,5.1
06113,6.2
06115,7.2
08001,4.0
08003,9.2
08005,4.1
08007,5.1
08009,2.1
08011,5.8
08013,4.2
08014,3.2
08015,3.4
08017,7.4
08019,3.1
08021,10.5
08023,9.6
08025,14.8
08027,5.7
08029,6.6
08031,3.8
08033,3.9
08035,2.9
08037,1.9
08039,2.0
08041,5.8
08043,5.5
08045,4.4
08047,1.5
08049,3.3
08051,5.1
08053,4.7
08055,3.1
08057,1.7
08059,3.6
08061,2.8
08063,3.6
08065,4.1
08067,4.1
08069,4.7
08071,8.1
08073,2.7
08075,3.3
08077,6.7
08079,2.6
08081,4.4
08083,5.1
08085,6.3
08087,4.1
08089,7.3
08091,3.8
08093,5.5
08095,1.4
08097,3.0
08099,4.8
08101,7.5
08103,5.9
08105,8.7
08107,3.1
08109,6.2
08111,2.0
08113,2.5
08115,7.0
08117,3.2
08119,5.8
08121,2.4
08123,4.1
08125,3.8
09001,6.6
09003,5.8
09005,5.0
09007,4.6
09009,6.4
09011,5.9
09013,4.9
09015,5.5
10001,5.4
10003,5.9
10005,4.3
11001,6.9
12001,5.1
12003,4.6
12005,5.1
12007,6.8
12009,5.2
12011,6.1
12013,5.9
12015,5.9
12017,8.0
12019,6.1
12021,3.9
12023,8.6
12027,4.8
12029,4.7
12031,5.8
12033,6.2
12035,4.8
12037,6.2
12039,7.1
12041,4.9
12043,12.0
12045,4.4
12047,11.7
12049,6.1
12051,7.4
12053,6.5
12055,9.5
12057,5.5
12059,8.8
12061,6.5
12063,6.3
12065,6.2
12067,9.8
12069,5.5
12071,5.3
12073,7.2
12075,6.3
12077,7.9
12079,4.7
12081,5.9
12083,8.3
12085,4.5
12086,5.3
12087,2.9
12089,3.9
12091,5.3
12093,6.7
12095,5.1
12097,5.3
12099,5.9
12101,5.7
12103,5.4
12105,5.9
12107,8.7
12109,4.6
12111,5.7
12113,5.4
12115,4.4
12117,5.0
12119,3.7
12121,6.0
12123,5.9
12125,6.9
12127,4.9
12129,5.5
12131,4.8
12133,8.9
13001,4.1
13003,8.0
13005,4.5
13007,7.1
13009,8.2
13011,4.9
13013,5.0
13015,4.7
13017,5.8
13019,5.2
13021,7.2
13023,6.2
13025,5.8
13027,8.2
13029,6.9
13031,8.0
13033,4.4
13035,4.8
13037,13.2
13039,7.0
13043,5.2
13045,7.1
13047,4.2
13049,12.0
13051,7.5
13053,11.3
13055,5.6
13057,3.7
13059,5.2
13061,12.9
13063,7.6
13065,6.0
13067,4.4
13069,4.0
13071,7.8
13073,4.5
13075,5.6
13077,4.1
13079,8.5
13081,11.6
13083,5.4
13085,4.0
13087,5.2
13089,6.4
13091,5.7
13093,11.6
13095,13.2
13097,6.6
13099,8.8
13101,3.2
13103,3.7
13105,7.4
13107,6.9
13109,6.4
13111,5.3
13113,3.9
13115,5.4
13117,3.2
13119,4.5
13121,5.5
13123,4.2
13125,1.9
13127,4.9
13129,3.3
13131,4.9
13133,5.5
13135,4.2
13137,3.1
13139,3.6
13141,3.2
13143,4.0
13145,7.0
13147,5.6
13149,5.2
13151,5.7
13153,6.3
13155,10.0
13157,4.1
13159,5.8
13161,6.8
13163,5.0
13165,4.5
13167,9.4
13169,5.4
13171,7.6
13173,4.9
13175,5.4
13177,6.7
13179,9.9
13181,3.4
13183,12.0
13185,6.5
13187,4.4
13189,7.0
13191,6.0
13193,11.7
13195,7.3
13197,6.7
13199,6.2
13201,7.0
13205,13.2
13207,7.0
13209,7.8
13211,3.9
13213,6.5
13215,9.2
13217,6.6
13219,3.0
13221,5.2
13223,4.1
13225,9.7
13227,4.9
13229,6.5
13231,5.5
13233,4.9
13235,5.7
13237,4.2
13239,6.6
13241,4.2
13243,7.7
13245,9.0
13247,6.7
13249,9.7
13251,8.2
13253,6.8
13255,4.9
13257,8.3
13259,9.1
13261,8.5
13263,5.0
13265,7.3
13267,4.6
13269,10.5
13271,2.0
13273,7.5
13275,7.4
13277,2.7
13279,9.0
13281,4.3
13283,8.8
13285,6.5
13287,6.2
13289,6.1
13291,4.9
13293,5.8
13295,5.9
13297,5.1
13299,5.3
13301,4.8
13303,6.1
13305,6.1
13307,3.6
13309,13.4
13311,3.4
13313,5.3
13315,6.7
13317,3.0
13319,8.0
13321,7.1
15001,6.2
15003,4.0
15005,0.0
15007,3.8
15009,4.0
16001,3.9
16003,8.6
16005,5.5
16007,3.0
16009,8.0
16011,4.8
16013,2.0
16015,5.4
16017,3.4
16019,3.4
16021,3.3
16023,4.8
16025,2.4
16027,5.6
16029,3.8
16031,2.8
16033,3.3
16035,6.9
16037,3.6
16039,7.1
16041,1.5
16043,5.7
16045,3.0
16047,5.4
16049,5.3
16051,4.5
16053,3.6
16055,4.1
16057,4.2
16059,4.5
16061,6.0
16063,3.7
16065,6.7
16067,3.7
16069,3.8
16071,1.1
16073,3.5
16075,5.4
16077,6.8
16079,8.1
16081,5.6
16083,3.3
16085,1.7
16087,4.2
17001,4.4
17003,7.1
17005,3.1
17007,6.2
17009,3.7
17011,5.0
17013,3.1
17015,5.6
17017,6.5
17019,4.8
17021,3.3
17023,5.5
17025,5.0
17027,2.6
17029,5.7
17031,7.0
17033,5.3
17035,3.0
17037,6.3
17039,4.8
17041,3.9
17043,4.1
17045,5.2
17047,5.3
17049,2.8
17051,5.7
17053,4.5
17055,7.5
17057,6.4
17059,4.7
17061,2.5
17063,4.2
17065,3.0
17067,5.6
17069,13.6
17071,5.5
17073,4.5
17075,5.0
17077,8.6
17079,5.0
17081,7.2
17083,3.1
17085,3.8
17087,4.3
17089,4.8
17091,5.2
17093,4.4
17095,5.1
17097,5.2
17099,5.8
17101,6.0
17103,3.5
17105,5.1
17107,5.6
17109,7.4
17111,4.1
17113,3.2
17115,7.6
17117,6.6
17119,6.0
17121,9.5
17123,5.5
17125,6.6
17127,4.4
17129,4.9
17131,4.4
17133,2.9
17135,4.6
17137,5.5
17139,3.0
17141,5.8
17143,7.5
17145,6.1
17147,4.7
17149,6.0
17151,15.7
17153,9.1
17155,2.6
17157,4.8
17159,5.6
17161,5.7
17163,6.7
17165,7.6
17167,5.8
17169,7.5
17171,5.9
17173,4.4
17175,2.9
17177,7.0
17179,4.4
17181,6.4
17183,6.5
17185,3.4
17187,7.7
17189,4.7
17191,2.9
17193,6.6
17195,4.5
17197,4.7
17199,5.7
17201,8.1
17203,3.7
18001,3.6
18003,4.9
18005,4.2
18007,3.2
18009,5.8
18011,1.9
18013,4.5
18015,3.1
18017,4.6
18019,4.9
18021,4.1
18023,3.9
18025,3.7
18027,3.6
18029,3.7
18031,3.8
18033,3.5
18035,6.6
18037,2.0
18039,4.5
18041,5.0
18043,3.8
18045,4.3
18047,2.5
18049,4.2
18051,2.9
18053,7.2
18055,4.8
18057,2.8
18059,2.5
18061,5.2
18063,3.6
18065,5.5
18067,5.1
18069,2.8
18071,4.3
18073,3.9
18075,3.8
18077,4.2
18079,3.1
18081,3.3
18083,4.1
18085,3.7
18087,2.0
18089,6.9
18091,6.1
18093,4.4
18095,5.6
18097,6.3
18099,4.9
18101,2.5
18103,4.9
18105,5.4
18107,3.8
18109,5.1
18111,7.9
18113,3.9
18115,1.7
18117,3.7
18119,5.4
18121,6.0
18123,3.0
18125,3.7
18127,4.4
18129,4.1
18131,6.4
18133,3.1
18135,5.0
18137,5.2
18139,4.6
18141,4.5
18143,5.0
18145,3.6
18147,2.9
18149,5.0
18151,3.2
18153,4.9
18155,6.1
18157,4.1
18159,3.2
18161,1.5
18163,4.6
18165,6.7
18167,7.0
18169,4.6
18171,4.0
18173,3.3
18175,5.5
18177,5.2
18179,2.8
18181,4.0
18183,3.6
19001,4.2
19003,3.9
19005,2.9
19007,6.5
19009,1.8
19011,3.0
19013,4.4
19015,2.8
19017,2.3
19019,2.2
19021,5.1
19023,2.9
19025,2.3
19027,2.0
19029,2.4
19031,3.1
19033,4.0
19035,3.2
19037,1.7
19039,3.0
19041,4.2
19043,2.4
19045,4.5
19047,6.7
19049,2.7
19051,3.0
19053,4.8
19055,2.0
19057,5.2
19059,1.9
19061,3.9
19063,3.6
19065,3.1
19067,2.2
19069,3.5
19071,3.6
19073,4.5
19075,2.2
19077,3.0
19079,2.7
19081,2.2
19083,1.8
19085,1.5
19087,5.5
19089,2.4
19091,4.1
19093,2.6
19095,2.9
19097,3.7
19099,3.8
19101,6.6
19103,3.5
19105,3.2
19107,4.7
19109,3.0
19111,6.9
19113,3.7
19115,4.8
19117,3.4
19119,1.9
19121,2.8
19123,3.9
19125,2.2
19127,5.0
19129,4.0
19131,2.2
19133,3.0
19135,3.9
19137,4.1
19139,3.0
19141,1.9
19143,2.9
19145,4.6
19147,1.4
19149,1.8
19151,3.3
19153,4.2
19155,3.8
19157,4.0
19159,4.6
19161,2.6
19163,3.8
19165,2.1
19167,2.7
19169,4.5
19171,3.4
19173,3.6
19175,4.4
19177,5.2
19179,5.9
19181,3.0
19183,3.1
19185,1.7
19187,4.1
19189,3.4
19191,2.0
19193,4.3
19195,4.6
19197,3.2
20001,4.6
20003,3.4
20005,2.8
20007,2.5
20009,3.9
20011,2.3
20013,3.4
20015,3.8
20017,4.5
20019,6.8
20021,4.3
20023,1.9
20025,1.5
20027,2.7
20029,4.1
20031,4.1
20033,3.0
20035,4.8
20037,5.1
20039,1.6
20041,4.2
20043,2.6
20045,4.2
20047,2.3
20049,5.7
20051,2.8
20053,3.5
20055,4.0
20057,5.8
20059,3.7
20061,4.5
20063,1.6
20065,1.8
20067,6.7
20069,2.6
20071,0.0
20073,2.3
20075,0.7
20077,5.8
20079,3.3
20081,3.2
20083,3.5
20085,5.2
20087,3.6
20089,2.2
20091,2.9
20093,2.2
20095,4.7
20097,3.0
20099,3.3
20101,2.6
20103,4.1
20105,3.4
20107,4.1
20109,1.7
20111,5.4
20113,1.9
20115,3.5
20117,3.2
20119,1.3
20121,2.8
20123,3.6
20125,5.0
20127,2.4
20129,2.5
20131,1.3
20133,4.7
20135,1.3
20137,1.2
20139,5.0
20141,1.6
20143,2.4
20145,2.4
20147,2.8
20149,2.9
20151,3.5
20153,1.6
20155,4.5
20157,1.7
20159,4.2
20161,5.8
20163,3.1
20165,4.1
20167,6.6
20169,3.3
20171,1.1
20173,5.1
20175,5.0
20177,4.1
20179,2.5
20181,3.6
20183,2.7
20185,4.3
20187,1.5
20189,5.6
20191,3.7
20193,2.2
20195,1.4
20197,2.6
20199,0.6
20201,1.8
20203,2.9
20205,4.9
20207,9.4
20209,6.6
21001,5.7
21003,5.0
21005,7.2
21007,6.1
21009,6.7
21011,5.8
21013,10.0
21015,3.8
21017,5.2
21019,7.9
21021,5.8
21023,4.3
21025,10.0
21027,9.2
21029,4.1
