cfips,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government
01001,8.0,8.3,21.0
01003,12.4,6.7,13.2
01005,9.600000000000001,4.4,18.5
01007,7.800000000000001,6.1,16.0
01009,8.2,5.1,11.8
01011,10.899999999999999,11.0,17.6
01013,6.4,5.1,14.5
01015,8.5,6.3,18.6
01017,6.199999999999999,5.7,13.3
01019,10.8,3.0,15.3
01021,8.6,6.4,11.7
01023,6.1,1.8,17.8
01025,7.699999999999999,6.4,12.2
01027,9.9,4.2,13.5
01029,10.0,3.2,17.3
01031,8.899999999999999,5.3,22.3
01033,9.2,5.5,14.8
01035,7.8,4.2,13.5
01037,6.699999999999999,3.1,15.3
01039,10.3,6.1,14.3
01041,10.0,4.8,17.1
01043,11.4,4.3,11.5
01045,8.0,4.7,19.9
01047,7.1,5.1,15.2
01049,12.399999999999999,3.1,11.2
01051,8.2,6.1,21.0
01053,7.8,3.9,19.0
01055,8.5,4.7,13.6
01057,7.2,6.5,13.2
01059,7.300000000000001,2.9,15.5
01061,14.6,4.8,15.6
01063,6.1,4.5,26.4
01065,8.8,7.3,11.9
01067,9.2,5.6,12.3
01069,9.6,7.1,11.9
01071,9.2,4.5,14.7
01073,7.699999999999999,9.0,13.3
01075,9.6,7.5,15.9
01077,9.6,5.5,16.2
01079,8.0,4.0,15.2
01081,7.800000000000001,6.1,17.7
01083,9.2,6.2,16.1
01085,5.800000000000001,5.1,16.3
01087,7.4,8.9,17.5
01089,7.199999999999999,7.5,18.8
01091,9.6,7.8,17.2
01093,8.3,5.1,16.3
01095,10.4,4.1,13.2
01097,7.5,7.4,12.8
01099,5.4,4.0,17.7
01101,7.5,7.8,21.0
01103,8.100000000000001,5.9,12.8
01105,10.7,7.9,22.3
01107,8.8,6.9,18.0
01109,8.4,7.9,16.5
01111,10.1,7.2,11.7
01113,4.6000000000000005,5.9,19.3
01115,7.7,4.5,10.9
01117,9.2,8.0,12.2
01119,4.9,7.7,28.5
01121,7.7,5.0,15.1
01123,9.1,5.9,13.6
01125,7.2,8.1,18.5
01127,8.4,6.3,14.4
01129,8.0,4.5,11.2
01131,8.3,6.2,17.6
01133,13.8,4.7,13.6
02013,9.4,2.5,22.6
02016,4.9,2.4,16.9
02020,9.1,10.1,21.5
02050,4.4,23.5,46.1
02060,11.7,6.1,35.2
02068,6.7,7.0,17.7
02070,5.7,23.8,37.2
02090,8.1,9.1,30.2
02100,27.1,16.1,21.7
