cfips,pct_housing_single_detached
01001,73.4
01003,75.0
01005,56.1
01007,63.1
01009,69.8
01011,45.6
01013,68.2
01015,72.9
01017,70.1
01019,71.5
01021,60.3
01023,69.2
01025,61.5
01027,69.9
01029,70.3
01031,72.4
01033,78.5
01035,60.0
01037,62.9
01039,72.2
01041,64.8
01043,70.6
01045,66.8
01047,61.8
01049,70.4
01051,75.6
01053,70.3
01055,79.1
01057,68.9
01059,76.1
01061,72.6
01063,57.0
01065,53.3
01067,72.5
01069,74.4
01071,71.1
01073,70.7
01075,66.3
01077,73.2
01079,71.6
01081,57.4
01083,79.9
01085,51.6
01087,61.5
01089,72.3
01091,57.9
01093,66.4
01095,78.3
01097,75.5
01099,70.5
01101,71.7
01103,72.5
01105,60.5
01107,63.4
01109,61.1
01111,73.8
01113,68.0
01115,72.3
01117,76.0
01119,47.5
01121,64.0
01123,70.3
01125,65.7
01127,64.5
01129,74.8
01131,54.9
01133,64.1
02013,78.3
02016,29.5
02020,50.4
02050,78.7
02060,79.2
02063,49.1
02066,86.4
02068,89.3
02070,80.3
02090,62.1
02100,83.0
02105,82.6
02110,46.8
02122,80.5
02130,55.1
02150,55.4
02158,97.0
02164,86.9
02170,82.4
02180,81.0
02185,74.5
02188,72.2
02195,71.6
02198,68.9
02220,49.3
02230,74.0
02240,86.8
02275,68.1
02282,75.6
02290,96.7
04001,68.4
04003,67.8
04005,58.9
04007,69.8
04009,70.1
04011,64.7
04012,34.8
04013,66.1
04015,63.3
04017,68.9
04019,62.0
04021,77.1
04023,75.1
04025,66.6
04027,59.9
05001,75.3
05003,74.7
05005,77.8
05007,75.6
05009,78.1
05011,69.0
05013,71.9
05015,77.3
05017,73.8
05019,62.8
05021,82.9
05023,74.9
05025,69.4
05027,73.0
05029,73.5
05031,69.7
05033,76.1
05035,73.0
05037,75.1
05039,71.0
05041,77.8
05043,61.9
05045,67.3
05047,75.6
05049,72.5
05051,68.6
05053,66.6
05055,73.6
05057,76.1
05059,71.8
05061,72.6
05063,73.9
05065,83.5
05067,76.7
05069,70.7
05071,72.0
05073,70.2
05075,80.1
05077,75.0
05079,65.4
05081,77.6
05083,80.5
05085,76.4
05087,76.4
05089,76.3
05091,69.2
05093,70.8
05095,68.6
05097,69.9
05099,71.0
05101,84.2
05103,74.3
05105,76.5
05107,72.4
05109,72.8
05111,75.9
05113,74.6
05115,74.4
05117,69.5
05119,67.7
05121,80.6
05123,61.9
05125,76.1
05127,71.2
05129,74.1
05131,71.5
05133,69.2
05135,77.1
05137,63.6
05139,72.9
05141,68.9
05143,63.6
05145,68.5
05147,73.9
05149,76.3
06001,53.1
06003,84.6
06005,80.1
06007,63.7
06009,83.5
06011,78.8
06013,67.4
06015,66.2
06017,79.2
06019,68.7
06021,70.3
06023,69.4
06025,68.2
06027,58.6
06029,73.4
06031,73.5
06033,67.3
06035,76.2
06037,49.2
06039,81.4
06041,62.4
06043,72.4
06045,72.5
06047,75.4
06049,84.6
06051,49.9
06053,63.0
06055,69.4
06057,82.0
06059,51.2
06061,79.5
06063,76.1
06065,71.3
06067,65.9
06069,79.3
06071,70.0
06073,51.7
06075,19.9
06077,75.2
06079,68.4
06081,57.1
06083,57.6
06085,52.7
06087,64.1
06089,70.3
06091,90.9
06093,72.9
06095,71.4
06097,66.4
06099,76.5
06101,72.7
06103,66.5
06105,72.4
06107,75.4
06109,76.8
06111,64.3
06113,59.3
06115,72.7
08001,63.9
08003,56.3
08005,57.9
08007,75.2
08009,82.1
08011,76.6
08013,60.3
08014,62.1
08015,76.6
08017,84.5
08019,79.7
08021,72.0
08023,71.7
08025,71.6
08027,87.5
08029,74.9
08031,45.4
08033,71.3
08035,76.6
08037,43.9
08039,94.3
08041,68.2
08043,75.8
08045,65.0
08047,89.2
08049,70.4
08051,62.2
08053,83.5
08055,79.2
08057,77.5
08059,66.1
08061,80.8
08063,74.7
08065,70.0
08067,64.9
08069,66.8
08071,77.0
08073,76.9
08075,73.6
08077,71.2
08079,78.9
08081,61.5
08083,69.2
08085,68.5
08087,74.0
08089,75.3
08091,74.3
08093,93.7
08095,87.8
08097,35.3
08099,70.8
08101,75.7
08103,82.1
08105,75.8
08107,61.3
08109,74.0
08111,68.4
08113,59.1
08115,78.2
08117,48.5
08119,82.6
08121,85.6
08123,74.2
08125,81.9
09001,58.5
09003,57.5
09005,74.3
09007,70.9
09009,55.6
09011,65.1
09013,70.7
09015,67.3
10001,65.2
10003,54.3
10005,71.0
11001,12.3
12001,54.3
12003,59.4
12005,61.0
12007,59.8
12009,69.0
12011,45.4
12013,58.7
12015,72.6
12017,71.7
12019,74.2
12021,49.3
12023,51.9
12027,55.6
12029,47.5
12031,61.8
12033,71.4
12035,84.7
12037,68.6
12039,63.8
12041,45.9
12043,39.9
12045,70.1
12047,54.2
12049,61.0
12051,53.3
12053,75.6
12055,65.7
12057,58.4
12059,57.9
12061,69.5
12063,63.3
12065,54.3
12067,42.4
12069,69.5
12071,60.9
12073,52.2
12075,50.9
12077,54.8
12079,57.1
12081,59.4
12083,68.1
12085,58.3
12086,43.2
12087,55.7
12089,69.6
12091,69.3
12093,58.3
12095,58.5
12097,64.1
12099,49.9
12101,66.8
12103,53.8
12105,64.1
12107,51.7
12109,76.8
12111,74.9
12113,81.9
12115,63.5
12117,63.9
12119,83.1
12121,44.7
12123,60.6
12125,49.5
12127,69.9
12129,69.7
12131,68.1
12133,60.4
13001,60.5
13003,48.7
13005,54.1
13007,72.1
13009,63.6
13011,69.9
13013,84.9
13015,72.9
13017,63.0
13019,61.6
13021,66.6
13023,68.8
13025,45.8
13027,59.7
13029,74.7
13031,56.8
13033,59.0
13035,78.0
13037,57.9
13039,66.7
13043,54.6
13045,74.3
13047,72.2
13049,51.9
13051,64.1
13053,33.5
13055,69.1
13057,81.0
13059,48.1
13061,49.2
13063,65.3
13065,66.5
13067,67.5
13069,59.6
13071,57.9
13073,83.3
13075,63.3
13077,84.0
13079,59.4
13081,62.7
13083,70.0
13085,82.3
13087,67.3
13089,58.4
13091,59.1
13093,70.3
13095,63.2
13097,78.5
13099,68.2
13101,45.9
13103,74.5
13105,68.1
13107,59.6
13109,53.6
13111,79.2
13113,85.5
13115,73.6
13117,85.2
13119,64.0
13121,48.7
13123,74.6
13125,62.0
13127,67.1
13129,72.4
13131,61.3
13133,72.6
13135,73.1
13137,77.2
13139,73.9
13141,56.7
13143,75.1
13145,91.0
13147,70.0
13149,58.2
13151,83.2
13153,76.4
13155,69.7
13157,80.5
13159,79.0
13161,61.9
13163,59.7
13165,59.0
13167,57.6
13169,73.3
13171,75.6
13173,66.4
13175,61.9
13177,80.0
13179,59.7
13181,61.9
13183,52.9
13185,68.4
13187,68.6
13189,65.1
13191,67.7
13193,59.9
13195,70.1
13197,56.0
13199,71.5
13201,68.7
13205,64.9
13207,75.0
13209,57.7
13211,74.7
13213,60.3
13215,67.7
13217,86.1
13219,87.4
13221,67.9
13223,91.9
13225,69.4
13227,77.3
13229,65.5
13231,88.3
13233,77.6
13235,66.4
13237,54.8
13239,50.2
13241,77.5
13243,53.9
13245,64.3
13247,78.2
13249,62.7
13251,57.4
13253,65.0
13255,79.8
13257,68.8
13259,55.9
13261,67.8
13263,65.5
13265,57.3
13267,57.7
13269,53.2
13271,64.0
13273,71.9
13275,66.2
13277,62.4
13279,63.5
13281,78.6
13283,56.7
13285,74.8
13287,67.6
13289,58.5
13291,79.1
13293,73.3
13295,79.4
13297,84.1
13299,66.5
13301,49.4
13303,58.7
13305,61.5
13307,51.7
13309,62.5
13311,70.9
13313,65.9
13315,63.8
13317,66.4
13319,72.7
13321,58.9
15001,81.1
15003,47.1
15005,98.7
15007,78.7
15009,68.1
16001,75.1
16003,85.0
16005,68.1
16007,86.9
16009,71.3
16011,77.9
16013,71.1
16015,78.8
16017,74.9
16019,72.1
16021,83.3
16023,82.6
16025,83.6
16027,79.8
16029,83.0
16031,79.2
16033,76.5
16035,72.6
16037,65.7
16039,67.7
16041,87.6
16043,78.3
16045,78.1
16047,72.4
16049,79.9
16051,84.9
16053,81.3
16055,73.6
16057,52.8
16059,71.9
16061,79.2
16063,71.8
16065,42.1
16067,81.0
16069,71.1
16071,92.3
16073,71.9
16075,73.4
16077,63.1
16079,79.1
