cfips,pct_insured
01001,92.9
01003,91.1
01005,88.7
01007,89.3
01009,89.2
01011,88.6
01013,91.3
01015,90.5
01017,89.7
01019,91.4
01021,87.0
01023,89.7
01025,90.3
01027,89.7
01029,87.7
01031,90.2
01033,92.8
01035,87.3
01037,92.0
01039,88.9
01041,91.3
01043,88.9
01045,88.4
01047,88.9
01049,86.3
01051,92.6
01053,85.8
01055,89.4
01057,92.4
01059,88.3
01061,87.4
01063,87.2
01065,90.5
01067,90.2
01069,89.5
01071,90.5
01073,90.8
01075,89.4
01077,91.0
01079,90.9
01081,92.2
01083,90.4
01085,91.2
01087,92.5
01089,91.7
01091,91.2
01093,91.3
01095,87.7
01097,88.8
01099,88.6
01101,90.0
01103,90.4
01105,90.7
01107,90.9
01109,90.3
01111,90.9
01113,88.5
01115,91.5
01117,93.8
01119,87.5
01121,90.7
01123,91.8
01125,92.8
01127,88.2
01129,90.6
01131,89.1
01133,87.7
02013,53.7
02016,82.5
02020,88.8
02050,79.7
02060,79.5
02068,81.5
02070,79.1
02090,90.2
02100,86.6
02105,75.3
02110,89.5
02122,84.0
02130,88.6
02150,82.8
02158,80.1
02164,66.6
02170,85.2
02180,79.3
02185,81.4
02188,74.3
02195,90.4
02198,75.3
02220,83.7
02230,81.8
02240,82.9
02261,80.8
02275,81.2
02282,76.3
02290,72.9
04001,74.9
04003,92.2
04005,88.8
04007,90.0
04009,93.1
04011,95.4
04012,85.3
04013,89.4
04015,91.1
04017,86.8
04019,90.8
04021,91.2
04023,89.8
04025,90.2
04027,87.3
05001,93.2
05003,92.2
05005,94.8
05007,91.1
05009,93.1
05011,89.0
05013,90.7
05015,88.9
05017,90.7
05019,91.5
05021,93.5
05023,91.8
05025,94.5
05027,92.9
05029,93.2
05031,91.2
05033,91.9
05035,91.6
05037,92.3
05039,93.5
05041,93.7
05043,94.5
05045,91.2
05047,94.5
05049,87.9
05051,89.5
05053,95.2
05055,92.3
05057,90.9
05059,92.9
05061,91.4
05063,91.3
05065,93.8
05067,92.3
05069,93.2
05071,88.9
05073,91.8
05075,93.4
05077,92.8
05079,92.6
05081,93.8
05083,93.4
05085,92.4
05087,89.7
05089,94.3
05091,90.6
05093,92.6
05095,91.1
05097,89.8
05099,90.6
05101,95.0
05103,92.9
05105,94.9
05107,91.6
05109,90.9
05111,88.7
05113,89.5
05115,91.4
05117,92.2
05119,92.1
05121,92.7
05123,91.4
05125,94.0
05127,90.0
05129,93.5
05131,89.6
05133,83.2
05135,93.7
05137,92.4
05139,92.5
05141,90.4
05143,88.4
05145,91.7
05147,94.0
05149,92.1
06001,95.6
06003,91.1
06005,95.3
06007,93.8
06009,95.6
06011,90.2
06013,94.9
06015,93.5
06017,95.4
06019,91.7
06021,91.4
06023,91.8
06025,92.0
06027,94.2
06029,92.1
06031,92.5
06033,92.9
06035,95.6
06037,90.4
06039,91.7
06041,96.5
06043,94.4
06045,91.4
06047,91.7
06049,87.5
06051,83.9
06053,90.2
06055,94.1
06057,93.5
06059,92.4
06061,96.0
06063,96.9
06065,91.2
06067,94.5
06069,92.5
06071,91.6
06073,92.2
06075,96.3
06077,93.6
06079,94.0
06081,95.8
06083,90.0
06085,95.7
06087,94.9
06089,93.5
06091,91.2
06093,94.1
06095,95.3
06097,93.9
06099,94.3
06101,92.0
06103,93.7
06105,89.5
06107,91.9
06109,94.5
06111,91.2
06113,95.2
06115,92.8
08001,89.9
08003,87.8
08005,92.3
08007,89.3
08009,93.2
08011,91.2
08013,95.4
08014,95.7
08015,90.0
08017,88.3
08019,90.1
08021,89.5
08023,88.5
08025,93.8
08027,83.8
08029,91.5
08031,90.7
08033,94.7
08035,97.2
08037,86.5
08039,94.7
08041,92.8
08043,93.1
