cfips,pct_broadband,pct_college,pct_in_it_industry,median_hh_inc
1001,76.6,14.5,1.3,55317
1003,74.5,20.4,1.4,52562
1005,57.2,7.6,0.5,33368
1007,62.0,8.1,1.2,43404
1009,65.8,8.7,1.3,47412
1011,49.4,6.6,0.4,29655
1013,58.2,9.6,1.1,36326
1015,71.0,10.2,1.4,43686
1017,62.8,9.0,2.4,37342
1019,67.5,6.6,1.4,40041
1021,56.6,9.5,0.5,43501
1023,52.3,7.9,1.8,32122
1025,47.3,8.4,1.0,33827
1027,66.0,5.9,1.1,37287
1029,57.8,7.8,0.5,37396
1031,75.3,14.7,1.2,49821
1033,65.9,11.5,0.9,45477
1035,40.7,5.2,2.8,30434
1037,58.2,7.5,1.4,34792
1039,64.7,10.4,1.7,39467
1041,57.1,11.9,2.4,38937
1043,65.2,9.5,1.1,40997
1045,69.8,11.1,0.9,44711
1047,57.7,8.1,0.5,30065
1049,61.0,7.6,0.7,38842
1051,78.2,14.4,1.5,54981
1053,54.9,7.6,0.9,35026
1055,68.4,10.4,2.8,42064
1057,64.1,10.1,2.7,36541
1059,60.3,8.3,2.8,39501
1061,64.3,7.5,0.7,39293
1063,42.0,8.3,0.6,20954
1065,50.7,9.9,0.0,34679
1067,68.3,9.0,1.5,45569
1069,67.6,13.2,1.6,42803
1071,62.7,8.6,1.0,39281
1073,73.0,19.4,2.7,49321
1075,58.3,8.9,2.8,36016
1077,65.4,13.8,1.6,44888
1079,55.7,7.2,0.9,43779
1081,78.2,19.8,1.3,47564
1083,72.5,16.5,1.3,52831
1085,47.1,9.5,2.6,29785
1087,52.2,10.8,0.4,32308
1089,81.3,25.2,2.6,61318
1091,51.2,9.7,1.2,32255
1093,65.8,8.3,0.3,35719
1095,70.2,11.6,1.4,41104
1097,69.4,15.2,1.7,45802
1099,38.9,7.3,0.9,26036
1101,75.6,19.4,1.4,46545
1103,70.1,14.4,1.2,47529
1105,39.8,8.7,1.3,22973
1107,60.9,8.8,0.1,36220
1109,60.2,14.9,1.4,35684
1111,64.8,9.1,1.3,39485
1113,63.0,10.6,1.7,38988
1115,72.3,10.6,1.6,53483
1117,84.5,27.9,3.3,74063
1119,50.4,10.6,1.5,21663
1121,65.5,8.2,1.1,39219
1123,67.9,12.1,0.8,42181
1125,75.7,18.6,1.7,50513
1127,62.5,6.7,0.4,38872
1129,53.5,6.8,0.4,42185
1131,41.6,8.0,1.7,27012
1133,56.2,7.8,0.5,35362
2013,68.2,7.7,0.1,66607
2016,74.1,12.5,0.8,85192
2020,87.4,22.0,2.8,82271
2050,70.6,7.8,1.8,53853
2060,81.3,15.2,5.4,79500
2068,89.7,30.4,0.3,83295
2070,72.2,9.9,0.9,58708
2090,82.0,20.8,2.3,76250
2100,77.2,21.6,1.7,70640
2105,72.1,15.0,1.6,57900
2110,87.8,26.1,3.0,90749
2122,75.8,15.4,1.5,65279
2130,81.8,16.1,3.0,67321
2150,82.4,15.3,0.7,74167
2158,58.4,3.0,1.7,36468
2164,60.3,8.4,0.7,45208
2170,85.2,13.7,3.1,74887
2180,67.6,9.8,0.4,53821
2185,67.9,10.9,0.5,77266
2188,66.8,7.1,2.0,61533
2195,75.9,19.7,1.5,63490
2198,67.9,10.7,0.6,52114
2220,80.4,19.6,1.1,70765
2230,84.2,24.5,1.1,70673
2240,74.9,10.0,2.8,63866
2261,80.5,23.1,3.3,86019
2275,74.4,12.9,2.7,56094
2282,69.8,16.9,1.4,64583
2290,43.7,7.4,1.1,37819
4001,38.6,7.6,1.1,32360
4003,76.2,14.8,1.3,47847
4005,75.3,21.0,0.9,53523
4007,61.6,11.7,0.8,41179
4009,69.8,9.1,1.3,48173
