cfips,pct_broadband,pct_college,pct_it_workers,median_hh_inc
1001,80.6,16.1,0.7,58731
1003,81.8,21.0,1.4,58320
1005,60.5,7.6,0.8,32525
1007,69.2,6.5,1.6,47542
1009,73.0,8.6,0.9,49358
1011,60.1,7.4,0.5,37785
1013,64.6,9.7,1.7,40688
1015,75.1,10.5,1.2,47255
1017,69.4,9.5,2.1,42289
1019,70.7,6.6,1.2,41919
1021,68.7,8.1,0.5,47468
1023,61.3,7.7,0.7,35892
1025,57.5,7.2,0.8,37404
1027,70.1,5.9,1.4,40845
1029,64.3,10.1,0.8,44741
1031,80.0,15.3,1.0,55637
1033,70.1,11.5,1.3,48065
1035,52.7,8.2,2.4,37837
1037,69.5,8.6,1.1,38990
1039,70.7,9.9,0.8,42189
1041,65.1,12.7,0.9,43163
1043,74.1,8.9,0.7,44918
1045,77.0,12.1,0.4,47214
1047,69.7,8.8,0.7,33845
1049,72.0,7.8,1.3,40440
1051,81.5,16.3,1.6,60891
1053,61.0,8.2,0.6,36275
1055,76.5,11.0,1.8,44637
1057,70.3,9.1,2.1,39856
1059,61.9,8.8,3.4,43514
1061,67.1,7.6,0.8,41732
1063,51.3,6.1,0.8,24145
1065,61.5,9.3,0.0,34046
1067,75.1,10.3,2.2,50017
1069,74.9,13.4,1.5,47580
1071,70.9,9.5,0.9,41769
1073,79.4,20.4,2.5,53901
1075,62.9,8.3,1.2,38364
1077,72.3,14.9,1.4,48094
1079,62.0,8.4,1.2,44886
1081,82.0,19.6,1.4,51463
1083,80.1,17.4,1.6,59686
1085,52.6,9.2,0.0,30036
1087,60.2,11.8,0.5,33370
1089,86.4,26.0,2.2,65449
1091,59.7,8.7,1.8,33241
1093,65.6,7.9,0.1,35930
1095,79.5,13.0,2.1,45983
1097,74.6,15.4,1.4,47583
1099,39.8,9.1,1.3,30441
1101,79.5,19.6,1.2,50124
1103,75.1,15.4,1.4,52156
1105,53.9,12.9,0.0,23447
1107,66.1,10.0,0.3,39848
1109,66.3,14.1,1.5,37446
1111,69.8,9.6,2.2,43395
1113,71.3,11.4,1.7,42443
1115,78.2,10.6,1.4,58308
1117,88.3,28.4,2.5,77799
1119,63.1,11.4,0.9,24320
1121,73.5,9.4,1.3,41325
1123,74.9,11.8,0.6,45828
1125,80.4,18.4,1.7,53326
