,year,data-year,cfips,county,state,microbusiness_density,pct_house_price_gt1mill,pct_house_price_500k_1mill,pct_house_price_250k_500k,pct_house_price_100k_250k,pct_housing_vacant,pct_housing_occupant_ratio_lt1,pct_housing_grapi_gt35,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio,pct_moved_from_abroad,pct_moved_outside_state,pct_moved_within_state,pct_moved_within_county,pct_households_married,avg_family_size,pct_unmarried_same_sex_households,pct_housing_owner_occupied,pct_divorced,pct_never_married,pct_k12_enrollment,pct_k12_public_students,pct_college_public_students,pct_college_enrollment,pct_with_scieng_degree,pct_with_libarts_degree,pct_with_business_degree,pct_multilingual,pct_below_poverty_level,pct_unemployed,pct_occupation_mbsa,pct_in_finance_industry,pct_in_arts_industry,pct_in_public_admin_industry,pct_employed_at_self_employed,pct_employed_at_non_profit,pct_employed_at_government,pct_housing_single_detached,pct_broadband,pct_college,pct_in_it_industry,median_hh_inc
546,2019,2017,15005,Kalawao County,Hawaii,9.28571412,0.0,0.0,0.0,0.0,44.2,100.0,14.3,86,16.7,2.8,57.6,91.1,0.0,3.5,7.1,1.2,28.30188679245283,2.2,0.0,3.8,8.3,31.0,,-,60.0,40.0,61.1,38.9,0.0,28.6,12.7,0.0,22.2,0.0,22.22222222222222,34.92063492063492,3.2,1.6,61.9,84.9,60.4,13.9,0.0,61750.0
3681,2020,2018,15005,Kalawao County,Hawaii,10.915492741666666,0.0,0.0,0.0,0.0,48.9,100.0,8.7,75,20.3,6.8,57.1,102.7,0.0,0.0,6.8,2.7,17.02127659574468,2.5,0.0,4.3,14.1,43.7,,-,50.0,100.0,52.9,35.3,0.0,18.3,10.6,0.0,19.3,5.263157894736842,19.29824561403509,38.59649122807017,3.5,1.8,59.6,85.1,59.6,18.8,0.0,61875.0
4948,2020,2018,35039,Rio Arriba County,New Mexico,2.5262040166666666,0.0,5.857740585774058,35.98326359832636,22.594142259414227,38.1,97.9,(X),39307,30.9,40.7,40.6,96.0,,,,,39.256331666397806,4.36,0.4,77.0,11.8,41.4,95.5455904334828,92.2,92.6,26.3,28.6,19.2,20.1,59.1,,,,,,,,,,55.1,52.1,12.5,,
6270,2021,2019,1001,Autauga County,Alabama,3.1815847166666664,0.0,0.0,8.226221079691516,58.354755784061695,8.9,98.9,39.9,55380,24.4,39.0,38.2,94.7,0.2,2.8,3.7,5.4,54.25526943029397,3.09,73.2,,11.2,27.6,95.49459351221466,87.1,81.1,30.0,27.4,22.1,23.5,4.3,15.2,3.7,37.8,5.978305195334801,8.783949106924394,9.436424435201044,7.3,8.3,20.3,72.3,80.6,16.1,0.7,58731.0
6271,2021,2019,1003,Baldwin County,Alabama,7.953069725,0.4241781548250266,4.984093319194061,36.93884764934606,47.82608695652174,29.1,98.7,37.4,212830,34.3,37.3,43.0,94.7,0.4,2.9,2.3,6.2,52.99147411343136,3.24,75.6,,13.5,24.7,96.1934811555607,83.5,82.3,27.8,26.4,21.1,22.8,5.4,10.4,4.3,37.1,7.520164894679833,9.971500983268658,5.224469192668075,12.7,6.4,13.4,74.3,81.8,21.0,1.4,58320.0
6272,2021,2019,1005,Barbour County,Alabama,1.1178152416666667,2.247191011235955,4.119850187265917,11.98501872659176,37.82771535580524,22.2,96.1,40.9,25361,30.7,34.6,40.4,112.4,0.3,1.9,3.1,9.3,42.35420010700909,3.01,57.3,,12.0,35.5,95.60384032339566,88.8,86.2,20.5,19.9,16.4,21.3,7.1,30.7,9.2,26.9,3.720432663734696,6.085819564958992,7.012956139308213,9.7,3.9,19.2,56.0,60.5,7.6,0.8,32525.0
6273,2021,2019,1007,Bibb County,Alabama,1.2419288583333332,0.0,22.82608695652174,0.0,22.82608695652174,25.0,98.9,40.5,22493,25.1,32.4,40.9,117.5,0.1,1.1,5.6,3.5,50.6893048904368,3.74,61.5,,14.9,33.7,99.24607961399276,90.5,94.5,17.1,23.3,21.9,25.8,2.3,18.1,7.3,20.4,5.341600095385716,4.6739000834625015,5.138905448909026,7.5,4.2,14.9,61.0,69.2,6.5,1.6,47542.0
6274,2021,2019,1009,Blount County,Alabama,1.7093004,2.922077922077922,0.0,0.0,22.4025974025974,14.3,98.2,34.4,57681,30.4,39.4,40.7,97.6,0.2,0.8,2.0,3.5,57.125725524056215,3.33,71.0,,12.0,21.2,92.24666064075524,91.7,85.6,25.1,21.3,21.3,15.7,8.2,13.6,3.4,30.2,6.063786102112515,4.56266824839166,4.539854907149701,7.8,4.7,12.8,70.6,73.0,8.6,0.9,49358.0
6275,2021,2019,1011,Bullock County,Alabama,0.8312807700000001,0.0,0.0,0.0,0.0,22.7,100.0,45.5,10248,25.3,32.8,40.2,119.1,0.1,0.4,1.8,4.7,37.54615166145982,3.3,48.4,,8.1,46.4,87.83102143757881,92.9,39.4,2.6,29.2,19.3,19.0,3.4,28.9,3.9,20.5,3.056263023848113,7.571197036351007,10.488539013660567,7.9,7.1,22.3,47.4,60.1,7.4,0.5,37785.0
6276,2021,2019,1013,Butler County,Alabama,1.7660834083333334,0.0,5.3559322033898304,0.4067796610169492,31.52542372881356,35.5,98.5,33.2,19828,34.0,38.8,40.8,84.5,0.1,0.7,1.8,3.9,47.75591761450968,3.78,64.6,,11.0,36.3,96.12825166364186,85.8,90.1,27.0,17.6,19.0,25.4,1.3,22.5,6.8,27.3,3.4047919293820934,10.403530895334177,4.930643127364439,6.4,6.3,14.4,63.9,64.6,9.7,1.7,40688.0
6277,2021,2019,1015,Calhoun County,Alabama,2.6962096416666665,0.0,0.0,6.673306772908366,28.58565737051793,16.8,98.3,37.5,114618,28.2,35.7,39.6,92.7,0.1,2.2,3.5,10.1,47.14269700706199,3.03,75.4,,12.9,28.9,96.89816833842129,89.4,90.8,42.4,22.3,24.0,20.1,4.3,17.9,8.1,28.2,4.28845832637381,8.443293803240353,7.167613161850676,8.2,5.8,18.3,74.2,75.1,10.5,1.2,47255.0
6278,2021,2019,1017,Chambers County,Alabama,1.3194835916666667,0.0,0.0,0.0,31.76470588235294,20.8,94.7,31.8,33660,32.1,35.1,42.0,91.6,0.2,1.8,2.3,5.7,41.27751338488995,3.1,71.1,,12.7,31.6,94.92234169653524,89.8,86.1,33.3,24.4,18.9,22.3,2.4,17.3,3.9,22.9,3.401223364925724,5.720239295556899,4.772467567385898,5.6,5.3,14.1,70.8,69.4,9.5,2.1,42289.0
6279,2021,2019,1019,Cherokee County,Alabama,1.215429075,0.0,5.641025641025641,12.564102564102564,44.61538461538462,35.2,98.7,33.7,25903,39.1,35.3,46.5,97.3,0.0,1.7,3.1,4.6,56.10505727856944,2.94,69.2,,12.1,20.0,96.72252341054708,94.5,96.6,25.0,24.4,12.5,16.9,1.5,13.9,4.4,28.1,2.885771543086173,6.943887775551103,4.979959919839679,10.9,2.8,14.2,69.1,70.7,6.6,1.2,41919.0
6280,2021,2019,1021,Chilton County,Alabama,1.6065729166666667,0.0,1.1853448275862069,9.80603448275862,40.08620689655172,14.4,97.0,31.9,44055,26.7,40.3,38.7,95.0,0.1,0.5,3.0,6.5,50.38104802977491,3.06,60.8,,13.8,25.5,96.66074149314372,94.6,92.5,23.0,25.9,21.6,25.1,7.5,19.1,6.4,22.2,7.006732854045418,4.695880406253567,4.6844687892274335,8.4,5.6,11.6,59.7,68.7,8.1,0.5,47468.0
6281,2021,2019,1023,Choctaw County,Alabama,1.361170325,0.0,0.0,0.0,0.0,28.0,99.2,52.1,12925,39.5,35.2,46.3,90.6,0.4,2.9,1.9,4.8,43.283018867924525,3.07,67.9,,13.0,27.2,93.08731808731808,73.9,78.1,34.6,18.9,20.0,12.0,1.6,23.3,7.9,26.4,2.516175413371675,5.7512580877066855,3.977953510663791,5.6,2.2,17.9,67.5,61.3,7.7,0.7,35892.0
6282,2021,2019,1025,Clarke County,Alabama,1.0102082533333332,0.0,0.0,0.0,26.76056338028169,28.9,98.4,32.0,24128,33.0,37.3,42.5,89.6,0.1,1.2,0.9,4.8,45.6985698569857,3.46,63.5,,10.1,33.2,95.1150895140665,87.3,92.4,25.4,19.9,13.9,19.2,0.9,23.2,12.2,23.3,4.2084942084942085,4.942084942084942,3.976833976833976,9.3,4.8,13.7,62.9,57.5,7.2,0.8,37404.0
6283,2021,2019,1027,Clay County,Alabama,1.4561038,0.0,0.0,0.0,39.39393939393939,23.5,99.1,22.8,13337,34.3,35.3,43.3,93.3,0.1,0.6,1.0,6.7,52.00076952674105,3.04,68.7,,11.6,22.8,97.52144899904673,85.1,92.6,18.7,23.4,27.0,13.1,3.2,17.9,5.4,24.2,4.070924552198299,7.074362221820156,4.3423195223448525,11.2,3.5,12.9,68.5,70.1,5.9,1.4,40845.0
