cfips,total_population,old_age_dependency_ratio,child_dependency_ratio,median_age,sex_ratio
01001,55380,24.4,39.0,38.2,94.7
01003,212830,34.3,37.3,43.0,94.7
01005,25361,30.7,34.6,40.4,112.4
01007,22493,25.1,32.4,40.9,117.5
01009,57681,30.4,39.4,40.7,97.6
01011,10248,25.3,32.8,40.2,119.1
01013,19828,34.0,38.8,40.8,84.5
01015,114618,28.2,35.7,39.6,92.7
01017,33660,32.1,35.1,42.0,91.6
01019,25903,39.1,35.3,46.5,97.3
01021,44055,26.7,40.3,38.7,95.0
01023,12925,39.5,35.2,46.3,90.6
01025,24128,33.0,37.3,42.5,89.6
01027,13337,34.3,35.3,43.3,93.3
01029,14916,33.6,39.2,43.1,96.1
01031,51662,27.7,39.7,39.3,97.3
01033,54771,32.7,35.5,42.4,92.3
01035,12394,39.0,37.0,44.8,96.2
01037,10757,37.2,27.6,48.4,103.2
01039,37200,36.3,38.3,43.3,93.6
01041,13844,32.1,38.2,41.7,95.1
01043,82853,30.8,38.1,40.8,96.8
01045,49277,27.1,38.2,37.3,97.3
01047,39149,29.7,41.2,39.6,85.5
01049,71310,28.3,41.8,39.5,98.1
01051,81144,23.7,35.8,38.7,93.6
01053,37057,29.6,37.3,40.0,103.6
01055,102748,31.4,36.2,41.4,93.2
01057,16494,35.9,36.3,43.7,97.4
01059,31466,29.0,43.1,38.6,99.3
01061,26417,34.4,38.0,43.2,94.5
01063,8324,38.0,40.4,40.9,85.9
01065,14809,32.4,40.3,40.5,90.5
01067,17133,38.8,36.9,44.4,94.4
01069,104702,29.0,39.1,40.1,92.1
01071,51852,32.9,35.7,43.1,95.9
01073,659680,25.0,37.2,37.7,89.8
01075,13885,38.0,38.8,44.8,95.5
01077,92556,32.5,32.7,41.0,92.9
01079,33058,30.2,36.1,42.4,93.3
01081,161152,17.3,31.8,31.9,97.3
01083,94727,24.4,36.7,39.7,99.7
01085,10079,31.2,38.2,42.0,91.7
01087,18708,30.5,27.4,38.6,85.0
01089,362276,23.2,34.7,38.5,95.5
01091,19321,33.3,39.4,42.2,92.8
01093,29866,36.3,36.3,44.3,98.0
01095,95643,28.9,42.9,38.8,97.6
01097,414114,26.0,39.0,37.9,91.1
01099,21270,33.0,38.2,43.3,91.4
01101,226941,23.6,38.1,36.4,89.3
01103,119213,28.6,38.3,40.6,97.0
01105,9293,32.1,36.4,36.9,84.8
01107,20243,30.0,32.3,42.2,90.9
01109,33333,22.6,29.5,31.2,92.1
01111,22647,35.2,37.3,43.4,95.4
01113,57952,22.5,39.6,36.3,92.6
01115,87989,26.7,37.4,40.3,100.1
01117,213432,24.2,38.6,39.3,93.9
01119,12797,27.6,30.5,35.6,86.3
