cfips,pct_unemployed
01001,5.2
01003,5.5
01005,12.4
01007,8.2
01009,4.9
01011,12.1
01013,7.6
01015,10.1
01017,6.4
01019,5.3
01021,6.7
01023,9.8
01025,15.2
01027,6.4
01029,7.8
01031,6.0
01033,6.9
01035,14.5
01037,11.3
01039,10.7
01041,6.4
01043,5.8
01045,10.4
01047,13.7
01049,5.1
01051,7.3
01053,13.7
01055,7.6
01057,8.4
01059,8.2
01061,8.9
01063,14.8
01065,11.7
01067,6.7
01069,7.6
01071,7.7
01073,7.7
01075,7.9
01077,6.6
01079,7.2
01081,5.7
01083,7.1
01085,11.2
01087,14.5
01089,6.5
01091,12.8
01093,5.5
01095,6.5
01097,7.5
01099,21.6
01101,7.6
01103,6.5
01105,11.8
01107,12.2
01109,8.7
01111,5.8
01113,9.7
01115,5.8
01117,4.3
01119,13.4
01121,10.0
01123,9.2
01125,6.7
01127,10.0
01129,11.0
01131,17.2
01133,9.4
02013,2.4
02016,1.9
02020,5.8
02050,19.3
02060,6.8
02068,1.9
02070,11.4
02090,8.0
02100,2.7
02105,11.7
02110,4.8
02122,8.6
02130,7.0
02150,5.3
02158,28.8
02164,13.2
02170,9.8
02180,16.6
02185,9.5
02188,20.1
02195,4.8
02198,13.5
02220,5.0
02230,7.9
02240,12.5
02261,7.5
02275,7.0
02282,6.5
02290,19.7
04001,14.1
04003,7.6
04005,8.3
04007,11.7
04009,12.2
04011,7.6
04012,9.5
04013,6.0
04015,10.1
04017,16.3
04019,8.4
04021,7.8
04023,8.7
04025,7.3
04027,10.9
05001,8.5
05003,9.9
05005,5.8
05007,3.1
05009,6.1
05011,9.4
05013,5.7
05015,5.1
05017,10.1
05019,4.5
05021,5.3
05023,5.5
05025,6.6
05027,9.5
05029,7.1
05031,6.0
05033,6.2
05035,8.4
05037,6.8
05039,6.4
05041,12.2
05043,9.0
05045,5.1
05047,6.6
05049,6.9
05051,9.0
05053,8.7
05055,7.0
05057,6.4
05059,6.2
05061,5.7
05063,6.0
05065,9.6
05067,7.0
05069,10.0
05071,4.7
05073,8.3
05075,8.2
05077,15.3
05079,8.1
05081,10.3
05083,8.1
05085,4.8
05087,4.5
05089,7.7
05091,8.0
05093,11.6
05095,9.1
05097,4.4
05099,4.8
05101,4.0
05103,8.3
05105,6.5
05107,15.7
05109,5.1
05111,5.4
05113,8.5
05115,7.3
05117,7.6
05119,5.9
05121,3.5
05123,10.0
05125,4.3
05127,10.6
05129,3.6
05131,5.6
05133,6.6
05135,6.7
05137,8.3
05139,8.3
05141,8.3
05143,4.9
05145,6.2
05147,10.1
05149,6.3
06001,6.0
06003,14.6
06005,9.3
06007,9.1
06009,7.1
06011,5.9
06013,6.9
06015,9.5
06017,8.1
06019,10.4
06021,9.2
06023,8.9
06025,16.0
06027,5.2
06029,10.9
06031,9.7
06033,11.2
06035,7.5
06037,7.8
06039,8.3
06041,4.5
06043,10.0
06045,10.4
06047,14.6
06049,7.5
06051,3.6
06053,6.0
06055,5.4
06057,7.3
06059,5.8
06061,5.6
06063,9.4
06065,9.9
06067,8.8
06069,8.8
06071,9.9
06073,7.1
06075,5.4
06077,10.1
06079,4.8
06081,4.7
06083,6.6
06085,5.7
06087,6.7
06089,6.8
06091,5.3
06093,9.1
06095,8.5
06097,5.9
06099,11.8
06101,10.5
06103,10.1
06105,9.6
06107,10.0
06109,7.9
06111,6.6
06113,7.2
06115,9.9
08001,5.1
08003,9.9
08005,5.2
08007,5.4
08009,4.5
08011,9.3
08013,5.2
08014,4.0
08015,2.5
08017,8.1
08019,3.2
08021,9.4
08023,9.1
08025,21.4
08027,8.7
08029,8.5
08031,4.5
08033,0.4
08035,3.3
08037,2.7
08039,3.6
08041,6.8
08043,6.2
08045,5.4
08047,3.3
08049,4.6
08051,7.3
08053,4.1
08055,7.9
08057,1.8
08059,4.3
08061,3.1
08063,5.3
08065,5.7
08067,4.4
08069,5.3
08071,7.8
08073,3.7
08075,6.2
08077,8.0
08079,1.6
08081,3.6
08083,5.9
08085,8.0
08087,4.5
08089,9.3
08091,5.9
08093,4.6
08095,2.0
08097,4.3
08099,8.4
08101,9.3
08103,6.3
08105,8.8
08107,3.1
08109,7.7
08111,9.8
08113,3.8
08115,6.8
08117,3.3
08119,6.7
08121,4.2
08123,5.3
08125,2.4
09001,7.6
09003,7.4
09005,6.0
09007,5.1
09009,7.7
09011,7.0
09013,5.8
09015,7.6
10001,6.7
10003,6.5
10005,6.1
11001,8.0
12001,6.6
12003,5.8
12005,6.4
12007,7.6
12009,7.6
12011,7.6
12013,8.6
12015,8.9
12017,9.9
12019,8.1
12021,5.3
12023,9.5
12027,6.1
12029,6.2
12031,7.4
12033,7.2
12035,6.5
12037,7.9
12039,8.5
12041,7.4
12043,10.0
12045,5.4
12047,12.7
12049,9.1
12051,8.2
12053,8.8
12055,11.5
12057,6.8
12059,11.5
12061,8.2
12063,11.2
12065,7.2
12067,12.8
12069,7.2
12071,7.1
12073,8.8
12075,8.5
12077,9.6
12079,8.1
12081,6.6
12083,9.0
12085,6.5
12086,7.4
12087,3.7
12089,5.7
12091,6.1
12093,9.0
12095,6.8
12097,6.6
12099,7.4
12101,7.0
12103,6.4
12105,7.7
12107,10.3
12109,5.3
12111,7.6
12113,6.3
12115,5.7
12117,6.6
12119,6.6
12121,9.1
12123,5.9
12125,9.8
12127,6.7
12129,6.9
12131,5.7
12133,10.1
13001,7.7
13003,8.4
13005,3.1
13007,2.5
13009,9.0
13011,6.6
13013,6.8
13015,6.0
13017,5.2
13019,9.4
13021,10.4
13023,7.7
13025,7.8
13027,13.6
13029,7.9
13031,9.3
13033,5.8
13035,7.6
13037,14.9
13039,8.2
13043,6.3
13045,9.4
13047,5.4
13049,10.4
13051,8.7
13053,15.2
13055,9.5
13057,4.9
13059,7.6
13061,20.3
13063,10.3
13065,9.1
13067,6.0
13069,5.7
13071,7.2
13073,5.8
13075,5.8
13077,5.4
13079,12.6
13081,14.8
13083,4.8
13085,6.1
13087,6.5
13089,8.5
13091,9.0
13093,10.5
13095,15.8
13097,7.9
13099,8.7
13101,5.5
13103,5.0
13105,7.7
13107,10.3
13109,6.6
13111,8.3
13113,5.5
13115,7.5
13117,4.2
13119,6.3
13121,7.7
13123,7.4
13125,3.3
13127,6.7
13129,5.7
13131,8.0
13133,6.5
13135,5.8
13137,5.5
13139,4.6
13141,4.0
13143,7.2
13145,8.5
13147,4.7
13149,9.6
13151,7.7
13153,7.8
13155,7.4
13157,6.5
13159,7.2
13161,5.0
13163,8.5
13165,6.3
13167,11.4
13169,8.7
13171,11.4
13173,10.6
13175,5.1
13177,7.1
13179,11.9
13181,6.0
13183,17.2
13185,9.2
13187,6.0
13189,8.1
13191,9.2
13193,16.8
13195,8.0
13197,10.0
13199,8.1
13201,5.7
13205,15.2
13207,9.4
13209,6.6
13211,5.7
13213,7.4
13215,10.0
