cfips,pct_broadband,pct_college,pct_it_workers,median_hh_inc
1001,82.7,16.7,0.6,57982.0
1003,85.1,20.2,1.0,61756.0
1005,64.6,7.3,1.1,34990.0
1007,76.1,7.4,1.7,51721.0
1009,79.6,8.9,1.1,48922.0
1011,60.6,6.1,0.3,33866.0
1013,73.6,10.1,1.3,44850.0
1015,79.8,10.5,1.0,50128.0
1017,74.5,10.5,2.3,43875.0
1019,75.0,6.3,0.9,42509.0
1021,74.6,8.2,0.8,52141.0
1023,62.8,8.2,0.8,36634.0
1025,62.8,8.4,0.8,37345.0
1027,72.0,7.6,0.6,42678.0
1029,70.7,10.6,0.4,46320.0
1031,82.7,13.9,0.8,56799.0
1033,72.6,10.9,1.4,47962.0
1035,62.0,8.2,2.4,35444.0
1037,75.7,8.0,1.0,43571.0
1039,75.2,9.3,0.7,42566.0
1041,66.6,13.1,1.4,42611.0
1043,78.6,10.1,0.5,48388.0
1045,80.9,12.6,0.3,45644.0
1047,71.9,10.3,0.6,33317.0
1049,78.4,8.6,2.5,42267.0
1051,83.7,16.9,1.4,62324.0
1053,65.5,8.8,1.0,35558.0
1055,80.2,10.8,1.5,44934.0
1057,70.3,9.1,2.7,41469.0
1059,63.1,10.3,1.6,41174.0
1061,70.6,7.8,0.9,41569.0
1063,55.6,5.8,0.7,26688.0
1065,62.7,10.6,0.0,30793.0
1067,78.2,12.3,1.6,51715.0
1069,78.0,13.9,1.5,49069.0
1071,75.3,10.6,0.9,42578.0
1073,83.0,20.9,2.5,55088.0
1075,65.3,7.0,1.0,42688.0
1077,77.2,16.0,1.5,48428.0
1079,67.0,10.2,1.3,47125.0
1081,84.6,20.1,1.1,52930.0
1083,83.0,17.5,1.4,64270.0
1085,52.8,8.1,0.0,33634.0
1087,66.9,11.0,0.2,35450.0
1089,88.3,26.9,2.3,66887.0
1091,65.6,10.0,1.5,33029.0
1093,69.9,8.0,0.8,40978.0
1095,83.5,14.0,2.5,50216.0
1097,78.1,16.2,1.7,49625.0
1099,48.2,8.5,1.1,31969.0
1101,82.9,19.6,1.3,51963.0
1103,77.3,14.5,1.4,52923.0
1105,53.6,11.5,0.0,23875.0
1107,71.0,9.6,0.9,40362.0
1109,70.3,16.0,1.6,39218.0
1111,75.5,9.7,1.5,45141.0
1113,73.7,11.2,1.0,42208.0
1115,82.4,12.4,1.5,62531.0
1117,90.8,28.9,2.3,78889.0
1119,65.5,9.9,0.7,26150.0
1121,78.8,8.8,1.5,43969.0
1123,77.0,11.9,0.3,48160.0
1125,82.2,18.3,1.3,54283.0
1127,76.4,8.4,1.5,45833.0
1129,69.4,6.3,0.2,42331.0
1131,63.3,7.9,0.3,35063.0
1133,71.4,7.9,1.6,40991.0
2013,57.9,10.5,0.6,75833.0
2016,79.0,14.4,1.3,87443.0
2020,92.0,22.7,2.4,84813.0
2050,73.4,5.7,1.4,54400.0
2060,81.0,20.3,1.8,79808.0
2068,85.1,25.6,0.4,76364.0
2070,72.9,8.5,0.2,57436.0
2090,87.1,18.8,2.6,76464.0
2100,86.4,16.7,2.8,65014.0
2105,60.9,14.6,0.6,59926.0
2110,91.3,25.3,2.7,88077.0
2122,83.1,16.2,2.0,69245.0
2130,87.0,16.9,2.1,74678.0
2150,85.8,17.9,0.2,79173.0
2158,66.1,2.6,1.1,37358.0
2164,68.6,10.6,0.0,48750.0
2170,88.0,14.3,2.4,76118.0
2180,78.3,8.4,1.4,62843.0
2185,71.6,11.3,0.0,79083.0
2188,78.4,8.3,0.9,63750.0
2195,79.9,19.6,1.3,68667.0
2198,68.6,11.8,0.4,54018.0
2220,84.6,22.0,1.9,81708.0
2230,89.1,19.2,0.3,71875.0
2240,69.5,10.8,2.0,66941.0
2261,,,,
2275,80.6,11.5,5.5,58438.0
2282,82.4,15.4,0.8,59517.0
2290,45.9,8.2,0.6,41728.0
4001,40.7,7.7,1.1,33967.0
4003,83.0,15.7,1.5,51505.0
4005,79.4,22.5,0.8,59000.0
4007,72.1,12.0,1.1,46907.0
4009,79.0,10.1,1.0,55693.0
4011,85.6,13.6,0.0,66368.0
4012,63.7,8.3,1.3,34956.0
4013,88.7,21.1,2.1,67799.0
4015,82.5,8.3,1.9,47686.0
4017,65.3,9.6,1.1,43140.0
4019,87.9,19.3,1.5,55023.0
4021,87.3,14.0,1.9,60968.0
4023,78.3,13.1,1.2,41424.0
4025,84.9,15.0,1.4,53329.0
4027,81.2,10.1,1.0,48790.0
5001,71.3,10.8,1.3,51000.0
5003,64.9,9.1,0.6,43601.0
5005,77.5,11.8,1.4,43504.0
5007,78.0,23.1,0.8,71556.0
5009,83.3,11.3,2.2,46392.0
5011,69.5,10.1,0.9,41808.0
5013,67.7,5.6,0.7,50441.0
5015,74.0,14.0,2.7,48249.0
5017,70.5,10.2,0.9,33523.0
5019,71.2,16.5,0.6,39500.0
5021,72.1,7.2,0.4,37933.0
5023,78.7,10.4,0.5,45563.0
5025,64.9,11.3,0.4,46349.0
5027,66.4,13.0,0.7,37609.0
5029,70.6,13.4,2.2,44456.0
5031,82.2,16.7,1.7,49730.0
5033,77.1,12.9,1.2,48980.0
5035,80.4,11.7,1.8,42384.0
5037,76.2,8.2,0.6,44379.0
5039,60.9,9.1,0.5,35134.0
5041,63.5,10.4,0.8,31855.0
5043,71.2,15.0,0.1,42924.0
5045,84.5,19.9,2.8,54191.0
5047,67.7,8.7,0.7,37561.0
5049,54.1,7.8,0.2,35274.0
5051,80.3,15.2,1.9,48150.0
5053,78.9,14.1,1.7,59051.0
5055,81.4,11.7,0.7,50083.0
5057,75.7,10.2,0.1,45484.0
5059,70.7,10.0,0.4,46390.0
5061,74.2,10.3,3.4,38038.0
5063,61.4,12.6,1.0,48972.0
5065,49.0,10.0,1.9,42818.0
5067,71.5,7.3,0.1,37885.0
5069,66.7,11.9,0.9,40402.0
5071,65.1,10.5,0.7,39346.0
5073,63.7,10.9,0.4,33763.0
5075,75.1,9.7,0.4,40587.0
5077,66.2,7.0,0.1,27902.0
5079,53.9,5.8,0.3,46554.0
5081,72.6,10.0,0.3,48966.0
5083,71.9,8.3,1.2,44232.0
5085,83.0,14.3,2.0,59278.0
5087,72.6,7.3,2.4,41446.0
5089,79.0,10.8,2.3,38426.0
5091,79.1,11.2,1.8,45391.0
5093,77.4,10.0,2.8,42986.0
5095,68.5,9.4,0.0,38438.0
5097,68.8,9.6,0.6,41165.0
5099,67.3,7.8,0.0,39946.0
5101,64.4,10.8,0.7,39542.0
5103,72.2,8.8,0.7,38279.0
5105,73.2,13.0,0.9,44926.0
5107,71.3,10.6,0.4,33724.0
5109,71.1,11.8,1.1,42983.0
5111,76.3,8.3,1.0,40700.0
5113,73.9,9.8,0.1,39084.0
5115,79.2,16.5,0.9,46004.0
5117,65.6,11.1,0.6,42754.0
5119,81.5,21.1,2.8,52930.0
5121,69.4,8.8,0.2,42844.0
5123,64.6,6.3,0.8,36053.0
5125,85.8,18.6,2.4,66876.0
5127,64.6,8.3,0.0,42635.0
5129,61.4,8.0,0.0,35077.0
5131,79.4,15.0,1.1,47878.0
5133,77.7,8.5,0.0,47872.0
5135,60.8,7.0,0.4,35573.0
5137,50.1,9.4,2.1,36067.0
5139,67.2,14.4,0.5,45293.0
5141,66.8,9.3,0.0,40442.0
5143,81.8,19.3,1.2,52380.0
5145,79.4,12.2,0.6,44000.0
5147,58.0,8.9,0.0,40331.0
5149,75.3,8.8,0.7,47981.0
6001,91.1,28.1,4.1,104888.0
6003,86.6,19.8,0.0,85750.0
6005,83.6,12.3,2.3,65187.0
6007,87.7,18.4,2.2,54972.0
6009,84.1,13.5,2.3,67054.0
6011,80.4,11.5,0.1,59427.0
6013,93.2,26.8,2.8,103997.0
6015,83.5,9.5,2.6,49981.0
6017,88.9,23.6,1.8,83710.0
6019,82.6,14.6,1.4,57109.0
6021,73.7,11.4,0.4,51682.0
6023,85.7,20.7,1.5,49235.0
6025,81.8,11.0,0.7,46222.0
6027,83.1,16.4,0.6,59296.0
6029,83.7,11.4,1.0,54851.0
6031,83.4,10.1,1.0,61556.0
6033,80.8,11.1,1.4,49254.0
6035,82.1,9.1,0.7,56971.0
6037,87.0,21.8,4.7,71358.0
6039,84.6,10.8,1.4,61924.0
6041,93.1,34.4,4.9,121671.0
6043,79.0,17.9,1.3,50960.0
6045,82.4,14.7,0.7,52915.0
6047,87.4,9.6,1.1,56330.0
6049,75.3,12.2,0.4,51250.0
6051,88.7,21.5,0.1,64924.0
6053,87.7,15.8,1.5,76943.0
6055,90.4,24.4,1.6,92219.0
6057,88.0,24.7,1.3,68333.0
6059,92.0,26.4,2.1,94441.0
6061,91.0,26.8,2.5,93677.0
6063,81.3,15.6,0.9,57233.0
6065,89.3,14.9,1.6,70732.0
6067,90.3,20.5,1.8,70684.0
6069,91.5,14.7,1.2,85808.0
6071,87.5,13.9,1.4,65761.0
6073,91.8,24.2,2.2,82426.0
6075,89.5,35.0,7.1,119136.0
6077,86.1,13.0,1.4,68628.0
6079,89.2,22.3,2.3,77948.0
6081,92.5,29.5,5.3,128091.0
6083,89.7,20.8,1.9,78925.0
6085,93.0,27.9,6.1,130890.0
6087,90.4,24.4,2.8,89986.0
6089,84.9,14.8,1.6,57139.0
6091,75.5,8.8,0.0,52103.0
6093,81.8,14.4,1.9,47403.0
6095,91.9,18.5,2.1,84638.0
6097,91.0,22.9,2.1,86173.0
6099,86.5,12.4,0.9,62873.0
6101,85.4,13.2,0.6,63502.0
6103,80.1,12.6,1.3,48895.0
6105,70.9,12.6,1.0,41780.0
6107,81.8,9.8,0.9,52534.0
6109,83.7,14.5,2.2,60509.0
6111,89.6,21.6,2.7,89295.0
6113,89.6,21.8,0.9,73746.0
6115,85.9,12.7,2.0,59424.0
8001,88.3,17.3,3.0,73817.0
8003,78.9,14.2,1.2,41121.0
8005,91.8,27.3,4.2,80291.0
8007,85.7,25.6,0.5,55658.0
8009,74.8,16.2,0.0,34655.0
8011,76.4,8.9,5.8,38083.0
8013,92.3,34.6,3.9,87476.0
8014,94.2,34.9,4.7,101206.0
8015,81.0,21.3,2.5,55176.0
8017,84.8,20.1,0.0,67763.0
8019,85.9,28.3,2.0,71919.0
8021,69.8,16.3,1.1,33611.0
8023,74.8,13.5,1.6,34732.0
8025,77.8,5.2,2.3,40785.0
8027,78.1,22.3,1.5,60361.0
8029,75.2,14.5,1.2,47968.0
8031,89.4,31.0,3.7,72661.0
8033,65.4,15.8,0.9,56786.0
8035,96.7,37.9,6.2,121393.0
8037,92.9,34.6,0.7,85877.0
8039,91.8,23.7,2.8,104231.0
